던전 번호,이미지,배경 이미지,던전 이름,필요 행동력,플레이 타임,활성화 요일,단계,보상 골드 최소,보상 골드 최대,보상 아이템 그룹 테이블,몬스터 웨이브,이용 문구,클리어 조건,,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,4,1750,2500,18,90022,,2,,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,5,2100,3000,19,90023,,2,,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,6,2450,3500,20,90024,,2,,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,7,2800,4000,21,90025,,2,,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,8,3150,4500,22,90026,,2,,
2,Dg_3,Bg_05,집행자 보스 레이드,15,300,2,9,3500,5000,23,90027,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,1,700,1000,24,90028,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,2,1050,1500,25,90029,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,3,1400,2000,26,90030,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,4,1750,2500,27,90031,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,5,2100,3000,28,90032,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,6,2450,3500,29,90033,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,7,2800,4000,30,90034,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,8,3150,4500,31,90035,,2,,
3,Dg_4,Bg_05,도살자 보스 레이드,15,300,3,9,3500,5000,32,90036,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,1,700,1000,33,90037,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,2,1050,1500,34,90038,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,3,1400,2000,35,90039,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,4,1750,2500,36,90040,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,5,2100,3000,37,90041,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,6,2450,3500,38,90042,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,7,2800,4000,39,90043,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,8,3150,4500,40,90044,,2,,
4,Dg_5,Bg_05,응징자 보스 레이드,15,300,4,9,3500,5000,41,90045,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,1,700,1000,42,90046,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,2,1050,1500,43,90047,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,3,1400,2000,44,90048,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,4,1750,2500,45,90049,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,5,2100,3000,46,90050,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,6,2450,3500,47,90051,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,7,2800,4000,48,90052,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,8,3150,4500,49,90053,,2,,
5,Dg_6,Bg_05,초월자 보스 레이드,15,300,5,9,3500,5000,50,90054,,2,,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,1,700,1000,51,90055,,0,1,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,2,1050,1500,52,90056,,0,1,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,3,1400,2000,53,90057,,0,1,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,4,1750,2500,54,90058,,0,1,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,5,2100,3000,55,90059,,0,1,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,6,2450,3500,56,90060,,0,1,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,7,2800,4000,57,90061,,0,1,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,8,3150,4500,58,90062,,0,1,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,9,3500,5000,59,90063,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,1,700,1000,60,90064,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,2,1050,1500,61,90065,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,3,1400,2000,62,90066,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,4,1750,2500,63,90067,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,5,2100,3000,64,90068,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,6,2450,3500,65,90069,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,7,2800,4000,66,90070,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,8,3150,4500,67,90071,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,9,3500,5000,68,90072,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,1,700,1000,69,90073,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,2,1050,1500,70,90074,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,3,1400,2000,71,90075,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,4,1750,2500,72,90076,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,5,2100,3000,73,90077,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,6,2450,3500,74,90078,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,7,2800,4000,75,90079,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,8,3150,4500,76,90080,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,9,3500,5000,77,90081,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,1,700,1000,78,90082,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,2,1050,1500,79,90083,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,3,1400,2000,80,90084,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,4,1750,2500,81,90085,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,5,2100,3000,82,90086,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,6,2450,3500,83,90087,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,7,2800,4000,84,90088,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,8,3150,4500,85,90089,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,9,3500,5000,86,90090,,0,1,
