Wave_Grp_ID,Wave_Grp_Index,Wave_Grp_Delay,Wave_Grp_Pattern,Wave_Grp_Mob_Delay_1,Wave_Grp_Spawn_1,Wave_Grp_Mob_ID_1,Wave_Grp_Mob_Lv_1,Wave_Grp_Mob_Value_1,Wave_Grp_Mob_Delay_2,Wave_Grp_Spawn_2,Wave_Grp_Mob_ID_2,Wave_Grp_Mob_Lv_2,Wave_Grp_Mob_Value_2,Wave_Grp_Mob_Delay_3,Wave_Grp_Spawn_3,Wave_Grp_Mob_ID_3,Wave_Grp_Mob_Lv_3,Wave_Grp_Mob_Value_3,Wave_Grp_Mob_Delay_4,Wave_Grp_Spawn_4,Wave_Grp_Mob_ID_4,Wave_Grp_Mob_Lv_4,Wave_Grp_Mob_Value_4,Wave_Grp_Mob_Delay_5,Wave_Grp_Spawn_5,Wave_Grp_Mob_ID_5,Wave_Grp_Mob_Lv_5,Wave_Grp_Mob_Value_5
8,7,15,0,4.9,11,20002,3,3,,,,,,,,,,,,,,,,,,,,
8,8,15,0,4.2,12,20001,3,3,,,,,,,,,,,,,,,,,,,,
9,1,1,0,4,2,20001,3,3,,,,,,,,,,,,,,,,,,,,
9,2,1,0,3.8,1,20002,3,3,,,,,,,,,,,,,,,,,,,,
9,3,1,0,4.2,3,20001,3,3,,,,,,,,,,,,,,,,,,,,
9,4,12,0,5,1,20003,3,3,,,,,,,,,,,,,,,,,,,,
9,5,12,0,4.8,3,20002,3,3,,,,,,,,,,,,,,,,,,,,
9,6,12,0,5.1,10,20003,3,3,,,,,,,,,,,,,,,,,,,,
9,7,12,0,4.9,11,20002,3,3,,,,,,,,,,,,,,,,,,,,
9,8,12,0,4.2,12,20001,3,3,,,,,,,,,,,,,,,,,,,,
9,9,16,0,4,2,20001,3,3,,,,,,,,,,,,,,,,,,,,
9,10,16,0,3.8,1,20002,3,3,,,,,,,,,,,,,,,,,,,,
9,11,16,0,4.2,3,20003,3,3,,,,,,,,,,,,,,,,,,,,
10,1,1,0,4,2,20001,3,3,,,,,,,,,,,,,,,,,,,,
10,2,1,0,3.8,1,20002,3,3,,,,,,,,,,,,,,,,,,,,
10,3,1,0,4.2,3,20001,3,3,,,,,,,,,,,,,,,,,,,,
10,4,12,0,5,7,20003,3,3,,,,,,,,,,,,,,,,,,,,
10,5,12,0,4.8,8,20002,3,3,,,,,,,,,,,,,,,,,,,,
10,6,12,0,5.1,10,20003,3,3,,,,,,,,,,,,,,,,,,,,
10,7,12,0,4.9,11,20002,3,3,,,,,,,,,,,,,,,,,,,,
10,8,12,0,4.2,12,20001,3,3,,,,,,,,,,,,,,,,,,,,
10,9,16,0,4,2,20001,3,3,,,,,,,,,,,,,,,,,,,,
10,10,16,0,3.8,1,20002,3,3,,,,,,,,,,,,,,,,,,,,
10,11,16,0,4.2,3,20003,3,3,,,,,,,,,,,,,,,,,,,,
10,12,25,1,1,2,20001,3,2,,,,,,,,,,,,,,,,,,,,
10,13,25,1,1,2,20001,3,2,,,,,,,,,,,,,,,,,,,,
10,14,25,1,1,2,20001,3,2,,,,,,,,,,,,,,,,,,,,
10,15,35,1,1,2,30003,3,1,,,,,,,,,,,,,,,,,,,,
11,1,1,0,4,1,20001,3,6,,,,,,,,,,,,,,,,,,,,
11,2,1,0,3.8,2,20002,3,6,,,,,,,,,,,,,,,,,,,,
11,3,1,0,4.2,3,20001,3,6,,,,,,,,,,,,,,,,,,,,
11,4,1,0,8,1,20003,3,3,,,,,,,,,,,,,,,,,,,,
11,5,1,0,10,2,20003,3,3,,,,,,,,,,,,,,,,,,,,
11,6,1,0,12,3,20003,3,3,,,,,,,,,,,,,,,,,,,,
11,7,1,0,12,4,20003,3,3,,,,,,,,,,,,,,,,,,,,
11,8,1,0,14,5,20001,3,3,,,,,,,,,,,,,,,,,,,,
11,9,1,0,16,7,20003,3,3,,,,,,,,,,,,,,,,,,,,
11,10,3,0,13,8,20007,3,3,,,,,,,,,,,,,,,,,,,,
11,11,3,0,16,4,20001,3,2,,,,,,,,,,,,,,,,,,,,
11,12,3,0,14.5,7,20008,3,2,,,,,,,,,,,,,,,,,,,,
12,1,1,0,4,10,20001,3,6,,,,,,,,,,,,,,,,,,,,
12,2,1,0,3.8,11,20002,3,6,,,,,,,,,,,,,,,,,,,,
12,3,1,0,4.2,12,20001,3,6,,,,,,,,,,,,,,,,,,,,
12,4,1,0,8,4,20007,3,4,,,,,,,,,,,,,,,,,,,,
12,5,1,0,10,5,20008,3,3,,,,,,,,,,,,,,,,,,,,
12,6,1,0,12,6,20003,3,3,,,,,,,,,,,,,,,,,,,,
12,7,1,0,12,7,20003,3,3,,,,,,,,,,,,,,,,,,,,
12,8,1,0,14,8,20001,3,3,,,,,,,,,,,,,,,,,,,,
12,9,1,0,16,9,20003,3,3,,,,,,,,,,,,,,,,,,,,
12,10,3,0,13,10,20007,3,3,,,,,,,,,,,,,,,,,,,,
12,11,3,0,16,11,20001,3,3,,,,,,,,,,,,,,,,,,,,
12,12,3,0,14.5,12,20008,3,3,,,,,,,,,,,,,,,,,,,,
13,1,3,1,1,1,20001,4,3,,,,,,,,,,,,,,,,,,,,
13,2,3,1,1,2,20002,4,3,,,,,,,,,,,,,,,,,,,,
13,3,3,1,1,3,20003,4,3,,,,,,,,,,,,,,,,,,,,
13,4,4,1,1,1,20008,4,3,,,,,,,,,,,,,,,,,,,,
13,5,4,1,1,2,20002,4,3,,,,,,,,,,,,,,,,,,,,
13,6,4,1,1,3,20007,4,3,,,,,,,,,,,,,,,,,,,,
13,7,5,1,1,1,20001,4,3,,,,,,,,,,,,,,,,,,,,
13,8,5,1,1,2,20008,4,3,,,,,,,,,,,,,,,,,,,,
13,9,5,1,1,3,20003,4,3,,,,,,,,,,,,,,,,,,,,
13,10,15,1,1,4,20001,4,3,,,,,,,,,,,,,,,,,,,,
13,11,15,1,1,5,20002,4,3,,,,,,,,,,,,,,,,,,,,
13,12,15,1,1,6,20003,4,3,,,,,,,,,,,,,,,,,,,,
13,13,25,1,1,9,20001,4,3,,,,,,,,,,,,,,,,,,,,
13,14,25,1,1,8,20002,4,3,,,,,,,,,,,,,,,,,,,,
13,15,25,1,1,7,20003,4,3,,,,,,,,,,,,,,,,,,,,
13,16,35,1,1,10,20001,4,2,,,,,,,,,,,,,,,,,,,,
13,17,35,1,1,11,20002,4,2,,,,,,,,,,,,,,,,,,,,
13,18,35,1,1,12,20003,4,2,,,,,,,,,,,,,,,,,,,,
14,1,1,0,5,1,20001,4,4,,,,,,,,,,,,,,,,,,,,
14,2,1,0,10,2,20002,4,3,,,,,,,,,,,,,,,,,,,,
14,3,1,0,8,3,20003,4,3,,,,,,,,,,,,,,,,,,,,
14,4,2,0,8,1,20001,4,4,,,,,,,,,,,,,,,,,,,,
14,5,2,0,5,2,20007,4,5,,,,,,,,,,,,,,,,,,,,
14,6,2,0,10,3,20003,4,3,,,,,,,,,,,,,,,,,,,,
14,7,3,0,8,1,20001,4,3,,,,,,,,,,,,,,,,,,,,
14,8,3,0,10,2,20008,4,3,,,,,,,,,,,,,,,,,,,,
14,9,3,0,5,3,20003,4,5,,,,,,,,,,,,,,,,,,,,
14,10,15,0,8,4,20008,4,3,,,,,,,,,,,,,,,,,,,,
14,11,15,0,10,5,20002,4,3,,,,,,,,,,,,,,,,,,,,
14,12,15,0,12,6,20003,4,3,,,,,,,,,,,,,,,,,,,,
14,13,25,1,1,9,20001,4,2,,,,,,,,,,,,,,,,,,,,
14,14,25,1,1,8,20002,4,2,,,,,,,,,,,,,,,,,,,,
14,15,25,1,1,7,20008,4,2,,,,,,,,,,,,,,,,,,,,
14,16,35,1,1,10,20001,4,3,,,,,,,,,,,,,,,,,,,,
14,17,35,1,1,11,20002,4,3,,,,,,,,,,,,,,,,,,,,
14,18,35,1,1,12,20003,4,3,,,,,,,,,,,,,,,,,,,,
15,1,1,1,1,2,30003,4,1,,,,,,,,,,,,,,,,,,,,
16,1,1,0,3,1,20001,4,3,,,,,,,,,,,,,,,,,,,,
16,2,1,0,5,2,20002,4,3,,,,,,,,,,,,,,,,,,,,
16,3,1,0,4,3,20001,4,3,,,,,,,,,,,,,,,,,,,,
16,4,1,0,8,1,20007,4,4,,,,,,,,,,,,,,,,,,,,
16,5,1,0,10,2,20002,4,4,,,,,,,,,,,,,,,,,,,,
16,6,1,0,13,3,20008,4,3,,,,,,,,,,,,,,,,,,,,
16,7,1,0,10,4,20007,4,4,,,,,,,,,,,,,,,,,,,,
16,8,1,0,12,5,20003,4,4,,,,,,,,,,,,,,,,,,,,
16,9,1,0,16,6,20008,4,3,,,,,,,,,,,,,,,,,,,,
16,10,1,0,8,7,20003,4,4,,,,,,,,,,,,,,,,,,,,
16,11,1,0,11,8,20001,4,4,,,,,,,,,,,,,,,,,,,,
16,12,1,0,15,9,20003,4,3,,,,,,,,,,,,,,,,,,,,
16,13,1,0,8,10,20003,4,3,,,,,,,,,,,,,,,,,,,,
16,14,1,0,11,11,20001,4,3,,,,,,,,,,,,,,,,,,,,
16,15,1,0,15,12,20003,4,3,,,,,,,,,,,,,,,,,,,,
17,1,1,0,3,1,20001,5,2,,,,,,,,,,,,,,,,,,,,
17,2,1,0,5,2,20002,5,2,,,,,,,,,,,,,,,,,,,,
17,3,1,0,4,3,20008,5,2,,,,,,,,,,,,,,,,,,,,
17,4,1,0,6,1,20001,5,4,,,,,,,,,,,,,,,,,,,,
17,5,1,0,8,2,20007,5,4,,,,,,,,,,,,,,,,,,,,
17,6,1,0,10,3,20001,5,4,,,,,,,,,,,,,,,,,,,,
17,7,2,0,5.5,4,20003,5,4,,,,,,,,,,,,,,,,,,,,
17,8,2,0,7.5,5,20008,5,4,,,,,,,,,,,,,,,,,,,,
17,9,2,0,9.5,6,20003,5,4,,,,,,,,,,,,,,,,,,,,
17,10,2,0,7,7,20007,5,4,,,,,,,,,,,,,,,,,,,,
17,11,2,0,7.5,8,20008,5,4,,,,,,,,,,,,,,,,,,,,
17,12,2,0,8,9,20003,5,4,,,,,,,,,,,,,,,,,,,,
17,13,2,0,6,10,20003,5,4,,,,,,,,,,,,,,,,,,,,
17,14,2,0,5.5,11,20001,5,4,,,,,,,,,,,,,,,,,,,,
17,15,2,0,7,12,20003,5,4,,,,,,,,,,,,,,,,,,,,
18,1,1,0,7,1,20001,5,5,,,,,,,,,,,,,,,,,,,,
18,2,1,0,12,2,20002,5,5,,,,,,,,,,,,,,,,,,,,
18,3,1,0,11,3,20001,5,5,,,,,,,,,,,,,,,,,,,,
18,4,1,0,13,4,20003,5,5,,,,,,,,,,,,,,,,,,,,
18,5,1,0,16,5,20003,5,5,,,,,,,,,,,,,,,,,,,,
18,6,1,0,16,6,20003,5,5,,,,,,,,,,,,,,,,,,,,
18,7,1,0,7,7,20008,5,4,,,,,,,,,,,,,,,,,,,,
18,8,1,0,10,8,20008,5,4,,,,,,,,,,,,,,,,,,,,
18,9,1,0,13,9,20003,5,4,,,,,,,,,,,,,,,,,,,,
18,10,4,0,7,10,20003,5,5,,,,,,,,,,,,,,,,,,,,
18,11,4,0,10,11,20001,5,5,,,,,,,,,,,,,,,,,,,,
18,12,4,0,13,12,20003,5,5,,,,,,,,,,,,,,,,,,,,
19,1,1,0,7,1,20001,5,5,,,,,,,,,,,,,,,,,,,,
19,2,1,0,12,2,20002,5,5,,,,,,,,,,,,,,,,,,,,
19,3,1,0,11,3,20007,5,5,,,,,,,,,,,,,,,,,,,,
19,4,1,0,13,4,20003,5,5,,,,,,,,,,,,,,,,,,,,
19,5,1,0,16,5,20008,5,4,,,,,,,,,,,,,,,,,,,,
19,6,1,0,16,6,20007,5,4,,,,,,,,,,,,,,,,,,,,
19,7,1,0,7,7,20003,5,4,,,,,,,,,,,,,,,,,,,,
19,8,1,0,10,8,20008,5,4,,,,,,,,,,,,,,,,,,,,
19,9,1,0,13,9,20003,5,4,,,,,,,,,,,,,,,,,,,,
19,10,4,0,7,10,20007,5,3,,,,,,,,,,,,,,,,,,,,
19,11,4,0,10,11,20001,5,3,,,,,,,,,,,,,,,,,,,,
19,12,4,0,13,12,20003,5,3,,,,,,,,,,,,,,,,,,,,
19,13,20,1,1,1,20001,5,3,,,,,,,,,,,,,,,,,,,,
19,14,20,1,1,2,20001,5,3,,,,,,,,,,,,,,,,,,,,
19,15,20,1,1,3,20001,5,3,,,,,,,,,,,,,,,,,,,,
20,1,1,0,7,4,20007,5,5,,,,,,,,,,,,,,,,,,,,
20,2,1,0,11,5,20007,5,5,,,,,,,,,,,,,,,,,,,,
20,3,1,0,9,6,20007,5,5,,,,,,,,,,,,,,,,,,,,
20,4,1,0,8,7,20007,5,5,,,,,,,,,,,,,,,,,,,,
20,5,1,0,11,8,20008,5,5,,,,,,,,,,,,,,,,,,,,
20,6,1,0,9.5,9,20007,5,5,,,,,,,,,,,,,,,,,,,,
20,7,1,0,7,4,20007,5,4,,,,,,,,,,,,,,,,,,,,
20,8,1,0,10,5,20007,5,4,,,,,,,,,,,,,,,,,,,,
20,9,1,0,13,6,20008,5,4,,,,,,,,,,,,,,,,,,,,
20,10,1,0,7,7,20007,5,4,,,,,,,,,,,,,,,,,,,,
20,11,1,0,10,8,20007,5,4,,,,,,,,,,,,,,,,,,,,
20,12,1,0,13,9,20007,5,4,,,,,,,,,,,,,,,,,,,,
20,13,30,1,1,1,20008,5,4,,,,,,,,,,,,,,,,,,,,
20,14,30,1,1,3,20008,5,4,,,,,,,,,,,,,,,,,,,,
20,15,50,1,1,2,30003,5,1,,,,,,,,,,,,,,,,,,,,
21,2,1,0,3.8,2,20002,6,6,,,,,,,,,,,,,,,,,,,,
21,3,1,0,4.2,3,20007,6,6,,,,,,,,,,,,,,,,,,,,
21,4,1,0,8,1,20008,6,6,,,,,,,,,,,,,,,,,,,,
21,5,1,0,10,2,20003,6,6,,,,,,,,,,,,,,,,,,,,
21,6,1,0,12,3,20007,6,6,,,,,,,,,,,,,,,,,,,,
21,7,1,0,12,4,20007,6,5,,,,,,,,,,,,,,,,,,,,
21,8,1,0,14,5,20001,6,5,,,,,,,,,,,,,,,,,,,,
21,9,1,0,16,7,20003,6,5,,,,,,,,,,,,,,,,,,,,
21,10,3,0,13,8,20008,6,5,,,,,,,,,,,,,,,,,,,,
21,11,3,0,16,4,20001,6,4,,,,,,,,,,,,,,,,,,,,
21,12,3,0,14.5,7,20003,6,4,,,,,,,,,,,,,,,,,,,,
22,1,1,0,4,1,20001,6,6,,,,,,,,,,,,,,,,,,,,
22,2,1,0,3.8,2,20002,6,6,,,,,,,,,,,,,,,,,,,,
22,3,1,0,4.2,3,20007,6,6,,,,,,,,,,,,,,,,,,,,
22,4,1,0,8,1,20007,6,6,,,,,,,,,,,,,,,,,,,,
22,5,1,0,8,2,20003,6,6,,,,,,,,,,,,,,,,,,,,
22,6,1,0,11,3,20007,6,6,,,,,,,,,,,,,,,,,,,,
22,7,1,0,12,4,20003,6,5,,,,,,,,,,,,,,,,,,,,
22,8,1,0,6,5,20001,6,5,,,,,,,,,,,,,,,,,,,,
22,9,1,0,5,7,20008,6,5,,,,,,,,,,,,,,,,,,,,
22,10,3,0,9,8,20003,6,5,,,,,,,,,,,,,,,,,,,,
22,11,3,0,15,4,20001,6,4,,,,,,,,,,,,,,,,,,,,
22,12,3,0,14.5,7,20003,6,4,,,,,,,,,,,,,,,,,,,,
23,1,5,0,3,1,20001,6,4,,,,,,,,,,,,,,,,,,,,
23,2,5,0,3,2,20002,6,4,,,,,,,,,,,,,,,,,,,,
23,3,5,0,3,3,20003,6,4,,,,,,,,,,,,,,,,,,,,
23,4,15,0,3,4,20007,6,4,,,,,,,,,,,,,,,,,,,,
23,5,15,0,3,5,20008,6,4,,,,,,,,,,,,,,,,,,,,
23,6,15,0,3,6,20008,6,4,,,,,,,,,,,,,,,,,,,,
23,7,25,0,3,10,20007,6,4,,,,,,,,,,,,,,,,,,,,
23,8,25,0,3,11,20002,6,4,,,,,,,,,,,,,,,,,,,,
23,9,25,0,3,12,20003,6,4,,,,,,,,,,,,,,,,,,,,
23,10,35,0,3,7,20007,6,4,,,,,,,,,,,,,,,,,,,,
23,11,35,0,3,8,20002,6,4,,,,,,,,,,,,,,,,,,,,
23,12,35,0,3,9,20008,6,4,,,,,,,,,,,,,,,,,,,,
23,13,45,0,3,1,20001,6,3,,,,,,,,,,,,,,,,,,,,
23,14,45,0,3,2,20007,6,3,,,,,,,,,,,,,,,,,,,,
23,15,45,0,3,3,20003,6,3,,,,,,,,,,,,,,,,,,,,
23,16,55,0,3,4,20001,6,3,,,,,,,,,,,,,,,,,,,,
23,17,55,0,3,5,20002,6,3,,,,,,,,,,,,,,,,,,,,
23,18,55,0,3,6,20003,0,3,,,,,,,,,,,,,,,,,,,,
24,1,3,0,3,1,20001,6,4,,,,,,,,,,,,,,,,,,,,
24,2,3,0,3,2,20002,6,4,,,,,,,,,,,,,,,,,,,,
24,3,3,0,3,3,20007,6,4,,,,,,,,,,,,,,,,,,,,
24,4,4,0,5,1,20001,6,4,,,,,,,,,,,,,,,,,,,,
24,5,4,0,5,2,20008,6,4,,,,,,,,,,,,,,,,,,,,
24,6,4,0,5,3,20003,6,4,,,,,,,,,,,,,,,,,,,,
24,7,5,0,5,1,20007,6,4,,,,,,,,,,,,,,,,,,,,
24,8,5,0,5,2,20002,6,4,,,,,,,,,,,,,,,,,,,,
24,9,5,0,5,3,20007,6,4,,,,,,,,,,,,,,,,,,,,
24,10,10,0,8,4,20001,6,4,,,,,,,,,,,,,,,,,,,,
24,11,12,0,12,5,20007,6,4,,,,,,,,,,,,,,,,,,,,
24,12,14,0,10,6,20003,6,4,,,,,,,,,,,,,,,,,,,,
24,13,11,0,9,7,20003,6,4,,,,,,,,,,,,,,,,,,,,
24,14,13,0,10,8,20002,6,4,,,,,,,,,,,,,,,,,,,,
24,15,15,0,11,9,20008,6,4,,,,,,,,,,,,,,,,,,,,
24,16,10.5,0,13,10,20001,6,3,,,,,,,,,,,,,,,,,,,,
24,17,12.5,0,11,11,20002,6,3,,,,,,,,,,,,,,,,,,,,
24,18,14.5,0,8,12,20003,6,3,,,,,,,,,,,,,,,,,,,,
25,1,1,1,1,2,30003,7,1,,,,,,,,,,,,,,,,,,,,
26,1,1,0,4,2,20001,7,7,,,,,,,,,,,,,,,,,,,,
26,2,1,0,3.8,1,20002,7,7,,,,,,,,,,,,,,,,,,,,
26,3,1,0,4.2,3,20007,7,7,,,,,,,,,,,,,,,,,,,,
26,4,8,0,8,1,20003,7,7,,,,,,,,,,,,,,,,,,,,
26,5,8,0,7,3,20002,7,7,,,,,,,,,,,,,,,,,,,,
26,6,8,0,8.5,10,20003,7,7,,,,,,,,,,,,,,,,,,,,
26,7,8,0,8,11,20007,7,7,,,,,,,,,,,,,,,,,,,,
26,8,8,0,7.5,12,20001,7,7,,,,,,,,,,,,,,,,,,,,
26,9,20,0,7,2,20008,7,5,,,,,,,,,,,,,,,,,,,,
26,10,20,0,7,1,20007,7,5,,,,,,,,,,,,,,,,,,,,
26,11,20,0,7.5,3,20003,7,5,,,,,,,,,,,,,,,,,,,,
27,1,1,0,4,7,20007,7,7,,,,,,,,,,,,,,,,,,,,
27,2,1,0,3.8,8,20002,7,7,,,,,,,,,,,,,,,,,,,,
27,3,1,0,4.2,9,20007,7,7,,,,,,,,,,,,,,,,,,,,
27,4,3,0,8,4,20003,7,7,,,,,,,,,,,,,,,,,,,,
27,5,3,0,10,5,20003,7,7,,,,,,,,,,,,,,,,,,,,
27,6,3,0,12,6,20007,7,7,,,,,,,,,,,,,,,,,,,,
27,7,3,0,12,7,20003,7,5,,,,,,,,,,,,,,,,,,,,
27,8,3,0,14,8,20007,7,5,,,,,,,,,,,,,,,,,,,,
27,9,3,0,16,9,20008,7,5,,,,,,,,,,,,,,,,,,,,
27,10,5,0,13,4,20008,7,5,,,,,,,,,,,,,,,,,,,,
27,11,5,0,16,5,20001,7,5,,,,,,,,,,,,,,,,,,,,
27,12,5,0,14.5,6,20003,7,5,,,,,,,,,,,,,,,,,,,,
28,1,1,0,6,1,20001,7,5,,,,,,,,,,,,,,,,,,,,
28,2,1,0,5.8,2,20002,7,5,,,,,,,,,,,,,,,,,,,,
28,3,1,0,6.2,3,20008,7,5,,,,,,,,,,,,,,,,,,,,
28,4,12,0,7,4,20007,7,5,,,,,,,,,,,,,,,,,,,,
28,5,12,0,6.8,5,20003,7,5,,,,,,,,,,,,,,,,,,,,
28,6,12,0,7.1,6,20007,7,5,,,,,,,,,,,,,,,,,,,,
28,7,12,0,6.9,7,20003,7,5,,,,,,,,,,,,,,,,,,,,
28,8,12,0,6.2,8,20001,7,5,,,,,,,,,,,,,,,,,,,,
28,9,20,0,6,9,20008,7,5,,,,,,,,,,,,,,,,,,,,
28,10,20,0,5.8,10,20003,7,5,,,,,,,,,,,,,,,,,,,,
28,11,20,0,6.2,11,20001,7,5,,,,,,,,,,,,,,,,,,,,
28,12,30,0,7.1,12,20003,7,5,,,,,,,,,,,,,,,,,,,,
28,13,30,0,6.9,1,20002,7,5,,,,,,,,,,,,,,,,,,,,
28,14,30,0,6.2,2,20001,7,5,,,,,,,,,,,,,,,,,,,,
28,15,30,0,7,3,20003,7,5,,,,,,,,,,,,,,,,,,,,
29,1,3,1,1,1,20001,8,8,,,,,,,,,,,,,,,,,,,,
29,2,3,1,1,2,20007,8,8,,,,,,,,,,,,,,,,,,,,
29,3,3,1,1,3,20003,8,8,,,,,,,,,,,,,,,,,,,,
29,4,20,1,1,1,20001,8,6,,,,,,,,,,,,,,,,,,,,
29,5,20,1,1,2,20008,8,6,,,,,,,,,,,,,,,,,,,,
29,6,20,1,1,3,20003,8,6,,,,,,,,,,,,,,,,,,,,
29,7,40,1,1,1,20007,8,6,,,,,,,,,,,,,,,,,,,,
29,8,40,1,1,2,20002,8,6,,,,,,,,,,,,,,,,,,,,
29,9,40,1,1,3,20008,8,6,,,,,,,,,,,,,,,,,,,,
29,10,60,1,1,1,20007,8,6,,,,,,,,,,,,,,,,,,,,
29,11,60,1,1,2,20002,8,6,,,,,,,,,,,,,,,,,,,,
29,12,60,1,1,3,20003,8,6,,,,,,,,,,,,,,,,,,,,
30,1,1,0,7,4,20003,8,8,,,,,,,,,,,,,,,,,,,,
30,2,1,0,6.8,5,20007,8,8,,,,,,,,,,,,,,,,,,,,
30,3,1,0,7.1,6,20003,8,8,,,,,,,,,,,,,,,,,,,,
30,4,1,0,6.9,7,20003,8,8,,,,,,,,,,,,,,,,,,,,
30,5,1,0,6.2,8,20008,8,8,,,,,,,,,,,,,,,,,,,,
30,6,1,0,6,9,20007,8,8,,,,,,,,,,,,,,,,,,,,
30,7,30,1,1,1,20001,8,5,,,,,,,,,,,,,,,,,,,,
30,8,30,1,1,2,20002,8,5,,,,,,,,,,,,,,,,,,,,
30,9,30,1,1,3,20007,8,5,,,,,,,,,,,,,,,,,,,,
30,10,50,1,1,1,20001,8,5,,,,,,,,,,,,,,,,,,,,
30,11,50,1,1,2,20002,8,5,,,,,,,,,,,,,,,,,,,,
30,12,50,1,1,3,20008,8,5,,,,,,,,,,,,,,,,,,,,
30,13,60,1,1,11,30003,8,1,,,,,,,,,,,,,,,,,,,,
31,1,1,0,4,1,20027,8,9,,,,,,,,,,,,,,,,,,,,
31,2,1,0,3.8,2,20033,8,9,,,,,,,,,,,,,,,,,,,,
31,3,1,0,4.2,3,20007,8,9,,,,,,,,,,,,,,,,,,,,
31,4,1,0,8,1,20036,8,6,,,,,,,,,,,,,,,,,,,,
31,5,1,0,10,2,20008,8,6,,,,,,,,,,,,,,,,,,,,
31,6,1,0,12,3,20007,8,6,,,,,,,,,,,,,,,,,,,,
31,7,1,0,7,4,20003,8,6,,,,,,,,,,,,,,,,,,,,
31,8,1,0,9,5,20008,8,6,,,,,,,,,,,,,,,,,,,,
