Skill_Id,Name,CoolTime,Range,Scale_x,Scale_y,Duration,Stack,Effect_0,Status_0,Type_0,Grp_0,Target_0,Effect_1,Status_1,Type_1,Grp_1,Target_1,Effect_2,Status_2,Type_2,Grp_2,Target_2,Description
100291,Lv1 휘두르기,23,직선형,6,3,10,,,1,2,,0,,1,0.1,,,,,,,,"날이빠진 도끼를 휘둘러 전방에 모든 적을 공격해 [{0}] 피해를 입히며, ({3})초 동안 [{1}]의 출혈 피해를 입힌다."
100292,Lv2 휘두르기,20,직선형,6,3,10,,,1,2.5,,0,,1,0.1,,,,,,,,"날이빠진 도끼를 휘둘러 전방에 모든 적을 공격해 [{0}] 피해를 입히며, ({3})초 동안 [{1}]의 출혈 피해를 입힌다."
100293,Lv3 휘두르기,18,직선형,6,3,10,,,1,3,,0,,1,0.1,,,,,,,,"날이빠진 도끼를 휘둘러 전방에 모든 적을 공격해 [{0}] 피해를 입히며, ({3})초 동안 [{1}]의 출혈 피해를 입힌다."
100301,Lv1 독화살,23,타겟,1,1,10,,,1,0.2,,0,,,,,,,,,,,대상에게 독이 묻은 화살을 날려 [{0}]에 독 피해를 ({3})초 동안 입힌다.
100302,Lv2 독화살,20,타겟,1,1,10,,,1,0.3,,0,,,,,,,,,,,대상에게 독이 묻은 화살을 날려 [{0}]에 독 피해를 ({3})초 동안 입힌다.
100303,Lv3 독화살,18,타겟,1,1,10,,,1,0.4,,0,,,,,,,,,,,대상에게 독이 묻은 화살을 날려 [{0}]에 독 피해를 ({3})초 동안 입힌다.
100311,Lv1 하늘의 분노,23,원형,5,5,10,,,1,1,,0,,1,0.1,,5,,0,0.1,9,5,"하늘에서 벼락이 떨어져 범위 내 무작위 대상 8명 에게 [{0}]의 피해를 입히며, 자기장을 생성해 [{1}]만큼 ({3})초간 피해를 준다.
<{0}> 아군이 맞을 경우, 벼락을 맞을 경우, [{2}]의 보호막이 생성된다."
100312,Lv2 하늘의 분노,20,원형,5,5,10,,,1,1.5,,0,,1,0.1,,5,,0,0.1,9,5,"하늘에서 벼락이 떨어져 범위 내 무작위 대상 8명 에게 [{0}]의 피해를 입히며, 자기장을 생성해 [{1}]만큼 ({3})초간 피해를 준다.
<{0}> 아군이 맞을 경우, 벼락을 맞을 경우, [{2}]의 보호막이 생성된다."
100313,Lv3 하늘의 분노,18,원형,5,5,10,,,1,2,,0,,1,0.1,,5,,0,0.1,9,5,"하늘에서 벼락이 떨어져 범위 내 무작위 대상 8명 에게 [{0}]의 피해를 입히며, 자기장을 생성해 [{1}]만큼 ({3})초간 피해를 준다.
<{0}> 아군이 맞을 경우, 벼락을 맞을 경우, [{2}]의 보호막이 생성된다."
100321,Lv1 크워어엉,23,원형,3,3,8,,,,,,0,,,,,,,,,,,고함을 질러 주변 대상이 ({3})초 동안 자신을 공격하게 한다.
100322,Lv2 크워어엉,20,원형,3,3,9,,,,,,0,,,,,,,,,,,고함을 질러 주변 대상이 ({3})초 동안 자신을 공격하게 한다.
100323,Lv3 크워어엉,18,원형,3,3,10,,,,,,0,,0,0.1,,,,,,,,"고함을 질러 주변 대상이 ({3})초 동안 자신을 공격하게 한다.
고함을 지를때, 자신에게 [{1}] 보호막을 생성한다."
100331,Lv1 광폭한 부리,23,원형,3,3,10,,,1,1,,0,,1,0.3,10,0,,,,,,"범위 내 적에게 깃털을 쏘아내 [{0}] 피해를 주며, ({3})초간 <{6}> 아군이 공격할 때마다 깃털을 날려 [{2}] 추가 피해를 준다."
100332,Lv2 광폭한 부리,20,원형,3,3,10,,,1,1.5,,0,,1,0.3,10,0,,,,,,"범위 내 적에게 깃털을 쏘아내 [{0}] 피해를 주며, ({3})초간 <{6}> 아군이 공격할 때마다 깃털을 날려 [{2}] 추가 피해를 준다."
100333,Lv3 광폭한 부리,18,원형,3,3,10,,,1,2,,0,,1,0.3,10,0,,,,,,"범위 내 적에게 깃털을 쏘아내 [{0}] 피해를 주며, ({3})초간 <{6}> 아군이 공격할 때마다 깃털을 날려 [{2}] 추가 피해를 준다."
100341,Lv1 바람의 날개짓,5,원형,5,5,10,,Effect_10034,5,0.1,,0,,,,,,,,,,,날개짓으로 바람을 일으켜 몸을 가볍게 해 주변 아군의 이동속도를 ({3})초 동안 [{0}] 증가 시킨다.
100342,Lv2 바람의 날개짓,5,원형,5,5,10,,Effect_10034,5,0.15,,0,,,,,,,,,,,날개짓으로 바람을 일으켜 몸을 가볍게 해 주변 아군의 이동속도를 ({3})초 동안 [{0}] 증가 시킨다.
100343,Lv3 바람의 날개짓,5,원형,5,5,10,,Effect_10034,5,0.2,,0,,,,,,,,,,,날개짓으로 바람을 일으켜 몸을 가볍게 해 주변 아군의 이동속도를 ({3})초 동안 [{0}] 증가 시킨다.
100351,Lv1 부리쪼기,23,타겟,1,1,0,10,,4,0.01,,0,,,,,,,,,,,"일반공격을 할 때마다 자신의 공격속도가 [{0}]씩 증가한다.
최대 ({4})중첩"
100352,Lv2 부리쪼기,20,타겟,1,1,0,10,,4,0.015,,0,,,,,,,,,,,"일반공격을 할 때마다 자신의 공격속도가 [{0}]씩 증가한다.
최대 ({4})중첩"
100353,Lv3 부리쪼기,18,타겟,1,1,0,10,,4,0.02,,0,,,,,,,,,,,"일반공격을 할 때마다 자신의 공격속도가 [{0}]씩 증가한다.
최대 ({4})중첩"
200091,몬스터힐,1,타겟,2,2,10,,Effect_Heal,1,1,,0,,,,,,,,,,,"현재 HP가 가장 낮은 아군의 HP를 [{0}]회복 시키며, 대상이 <{6}>일 경우 대상 주변 적군의 공격력을 [{1}] 감소 시킨다."
200141,몬스터광힐,1,원형,5,5,0,,Effect_Heal,0,0.05,,0,,,,,,,,,,,기운을 주변에 퍼트려 자신 주변 모든 아군의 [{0}]체력을 회복시킨다.
