Castle_Level,Castle_Gold,Castle_Slot,Castle_HP,Castle_Object_Value,Castle_Object_HP,Castle_Skill_1,Castle_Skill_Value_1,Castle_Skill_2,Castle_Skill_Value_2,Castle_Skill_3,Castle_Skill_Value_3,Castle_Skill_4,Castle_Skill_Value_4
35,44648,10,35000,4,69000,Shield,440,Damage,440,Sturn,2,Heal,1180
36,46880,10,36000,4,71000,Shield,450,Damage,450,Sturn,2,Heal,1200
37,49224,10,37000,4,73000,Shield,460,Damage,460,Sturn,2,Heal,1220
38,51685,10,38000,4,75000,Shield,470,Damage,470,Sturn,2,Heal,1240
39,54270,10,39000,4,77000,Shield,480,Damage,480,Sturn,3,Heal,1260
40,65123,10,40000,5,79000,Shield,490,Damage,490,Sturn,3,Heal,1280
41,68380,10,41000,5,81000,Shield,500,Damage,500,Sturn,3,Heal,1300
42,71799,10,42000,5,83000,Shield,510,Damage,510,Sturn,3,Heal,1320
43,75389,10,43000,5,85000,Shield,520,Damage,520,Sturn,3,Heal,1340
44,79158,10,44000,5,87000,Shield,530,Damage,530,Sturn,3,Heal,1360
45,83116,10,45000,5,89000,Shield,540,Damage,540,Sturn,3,Heal,1380
46,87272,10,46000,5,91000,Shield,550,Damage,550,Sturn,3,Heal,1400
47,91635,10,47000,5,93000,Shield,560,Damage,560,Sturn,3,Heal,1420
48,96217,10,48000,5,95000,Shield,570,Damage,570,Sturn,3,Heal,1440
49,101028,10,49000,5,97000,Shield,580,Damage,580,Sturn,3,Heal,1460
50,121233,10,50000,6,99000,Shield,590,Damage,590,Sturn,3,Heal,1480
51,127295,10,51000,6,101000,Shield,600,Damage,600,Sturn,3,Heal,1500
52,133660,10,52000,6,103000,Shield,610,Damage,610,Sturn,3,Heal,1520
53,140343,10,53000,6,105000,Shield,620,Damage,620,Sturn,3,Heal,1540
54,147360,10,54000,6,107000,Shield,630,Damage,630,Sturn,3,Heal,1560
55,154728,10,55000,6,109000,Shield,640,Damage,640,Sturn,3,Heal,1580
56,162464,10,56000,6,111000,Shield,650,Damage,650,Sturn,3,Heal,1600
57,170588,10,57000,6,113000,Shield,660,Damage,660,Sturn,3,Heal,1620
58,179117,10,58000,6,115000,Shield,670,Damage,670,Sturn,3,Heal,1640
59,188073,10,59000,6,117000,Shield,680,Damage,680,Sturn,3,Heal,1660
60,225687,10,60000,6,119000,Shield,690,Damage,690,Sturn,3,Heal,1680
61,236972,10,61000,6,121000,Shield,700,Damage,700,Sturn,3,Heal,1700
62,248820,10,62000,6,123000,Shield,710,Damage,710,Sturn,3,Heal,1720
63,261261,10,63000,6,125000,Shield,720,Damage,720,Sturn,4,Heal,1740
64,274324,10,64000,6,127000,Shield,730,Damage,730,Sturn,4,Heal,1760
65,288041,10,65000,6,129000,Shield,740,Damage,740,Sturn,4,Heal,1780
66,302443,10,66000,6,131000,Shield,750,Damage,750,Sturn,4,Heal,1800
67,317565,10,67000,6,133000,Shield,760,Damage,760,Sturn,4,Heal,1820
68,333443,10,68000,6,135000,Shield,770,Damage,770,Sturn,4,Heal,1840
69,350115,10,69000,6,137000,Shield,780,Damage,780,Sturn,4,Heal,1860
70,420138,10,70000,7,139000,Shield,790,Damage,790,Sturn,4,Heal,1880
71,441145,10,71000,7,141000,Shield,800,Damage,800,Sturn,4,Heal,1900
72,463202,10,72000,7,143000,Shield,810,Damage,810,Sturn,4,Heal,1920
73,486362,10,73000,7,145000,Shield,820,Damage,820,Sturn,4,Heal,1940
74,510681,10,74000,7,147000,Shield,830,Damage,830,Sturn,4,Heal,1960
75,536215,10,75000,7,149000,Shield,840,Damage,840,Sturn,4,Heal,1980
76,563025,10,76000,7,151000,Shield,850,Damage,850,Sturn,4,Heal,2000
77,591177,10,77000,7,153000,Shield,860,Damage,860,Sturn,4,Heal,2020
78,620735,10,78000,7,155000,Shield,870,Damage,870,Sturn,4,Heal,2040
79,651772,10,79000,7,157000,Shield,880,Damage,880,Sturn,4,Heal,2060
80,782127,10,80000,8,159000,Shield,890,Damage,890,Sturn,4,Heal,2080
81,821233,10,81000,8,161000,Shield,900,Damage,900,Sturn,4,Heal,2100
82,862295,10,82000,8,163000,Shield,910,Damage,910,Sturn,4,Heal,2120
83,905409,10,83000,8,165000,Shield,920,Damage,920,Sturn,4,Heal,2140
84,950680,10,84000,8,167000,Shield,930,Damage,930,Sturn,4,Heal,2160
85,998214,10,85000,8,169000,Shield,940,Damage,940,Sturn,4,Heal,2180
86,1048125,10,86000,8,171000,Shield,950,Damage,950,Sturn,4,Heal,2200
87,1100531,10,87000,8,173000,Shield,960,Damage,960,Sturn,4,Heal,2220
88,1155557,10,88000,8,175000,Shield,970,Damage,970,Sturn,5,Heal,2240
89,1213335,10,89000,8,177000,Shield,980,Damage,980,Sturn,5,Heal,2260
90,1456002,10,90000,9,179000,Shield,990,Damage,990,Sturn,5,Heal,2280
91,1528802,10,91000,9,181000,Shield,1000,Damage,1000,Sturn,5,Heal,2300
92,1605242,10,92000,9,183000,Shield,1010,Damage,1010,Sturn,5,Heal,2320
93,1685504,10,93000,9,185000,Shield,1020,Damage,1020,Sturn,5,Heal,2340
94,1769780,10,94000,9,187000,Shield,1030,Damage,1030,Sturn,5,Heal,2360
95,1858269,10,95000,9,189000,Shield,1040,Damage,1040,Sturn,5,Heal,2380
96,1951182,10,96000,9,191000,Shield,1050,Damage,1050,Sturn,5,Heal,2400
97,2048741,10,97000,9,193000,Shield,1060,Damage,1060,Sturn,5,Heal,2420
98,2151178,10,98000,9,195000,Shield,1070,Damage,1070,Sturn,5,Heal,2440
99,2258737,10,99000,9,197000,Shield,1080,Damage,1080,Sturn,5,Heal,2460
100,2710485,10,100000,10,200000,Shield,1090,Damage,1090,Sturn,5,Heal,2480
