Character_ID,Character_Hp_Up,Character_Atk_Up,Character_Cri_Up,Character_Cri_Damage_Up,Character_Speed_Atk_Up,Character_Speed_Move_Up,Character_Range_Atk_Up,Character_Range_Move_Up,Rate_1_option_1,Rate_1_option_Value_1,Rate_1_option_2,Rate_1_option_Value_2,Rate_2_option_1,Rate_2_option_Value_1,Rate_2_option_2,Rate_2_option_Value_2,Rate_3_option_1,Rate_3_option_Value_1,Rate_3_option_2,Rate_3_option_Value_2,Rate_4_option_1,Rate_4_option_Value_1,Rate_4_option_2,Rate_4_option_Value_2,Rate_5_option_1,Rate_5_option_Value_1,Rate_5_option_2,Rate_5_option_Value_2
10015,150,13.5,0.001,0.001,0,0,0,0,2,500,5,0.1,2,500,3,0.05,0,2,,,4,0.02,5,0.1,0,3,,
10016,300,8.4,0.001,0.001,0,0,0,0,1,100,1,100,0,2,,,3,0.05,4,0.02,2,500,1,100,0,3,,
10017,250,10.5,0.001,0.001,0,0,0,0,5,0.1,4,0.02,0,2,,,5,0.1,6,0.1,2,500,6,0.1,0,3,,
10018,192.5,8.1,0.001,0.001,0,0,0,0,2,500,4,0.02,0,2,,,1,100,5,0.1,1,100,5,0.1,0,3,,
10019,275,9.45,0.001,0.001,0,0,0,0,1,100,6,0.1,0,2,,,2,500,1,100,4,0.02,4,0.02,0,3,,
10020,150,13.5,0.001,0.001,0,0,0,0,6,0.1,6,0.1,0,2,,,1,100,4,0.02,1,100,2,500,0,3,,
10021,175,9,0.001,0.001,0,0,0,0,1,100,4,0.02,0,2,,,4,0.02,4,0.02,0,3,,,4,0.02,3,0.05
10022,210,8.1,0.001,0.001,0,0,0,0,2,500,2,500,0,2,,,6,0.1,6,0.1,5,0.1,1,100,0,3,,
10023,288,6.72,0.001,0.001,0,0,0,0,3,0.05,4,0.02,0,2,,,1,100,2,500,5,0.1,1,100,0,3,,
10024,350,6.3,0.001,0.001,0,0,0,0,3,0.05,3,0.05,2,500,3,0.05,0,2,,,4,0.02,2,500,0,3,,
10025,288,6.72,0.001,0.001,0,0,0,0,1,100,2,500,0,2,,,1,100,3,0.05,0,3,,,1,100,2,500
10026,227.5,6.3,0.001,0.001,0,0,0,0,2,500,3,0.05,0,2,,,3,0.05,6,0.1,1,100,5,0.1,0,3,,
10027,200,12,0.001,0.001,0,0,0,0,3,0.05,1,100,3,0.05,6,0.1,0,2,,,3,0.05,1,100,0,3,,
10028,220,10.8,0.001,0.001,0,0,0,0,4,0.02,5,0.1,0,2,,,2,500,1,100,1,100,4,0.02,0,3,,
10029,220,10.8,0.001,0.001,0,0,0,0,6,0.1,6,0.1,0,2,,,4,0.02,6,0.1,5,0.1,6,0.1,0,3,,
10030,165,12.15,0.001,0.001,0,0,0,0,2,500,6,0.1,5,0.1,2,500,0,2,,,4,0.02,2,500,0,3,,
10031,250,10.5,0.001,0.001,0,0,0,0,2,500,3,0.05,0,2,,,1,100,1,100,4,0.02,5,0.1,0,3,,
10032,292.5,10.5,0.001,0.001,0,0,0,0,3,0.05,2,500,0,2,,,4,0.02,2,500,0,3,,,4,0.02,1,100
10033,150,13.5,0.001,0.001,0,0,0,0,1,100,5,0.1,0,2,,,3,0.05,2,500,1,100,3,0.05,0,3,,
10034,250,10.5,0.001,0.001,0,0,0,0,4,0.02,3,0.05,0,2,,,4,0.02,5,0.1,5,0.1,1,100,0,3,,
10035,175,9,0.001,0.001,0,0,0,0,5,0.1,5,0.1,0,2,,,3,0.05,3,0.05,0,3,,,4,0.02,2,500
20001,220,7.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20002,247.5,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20003,192.5,5.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20004,175,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20005,150,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20006,350,4.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20007,292.5,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20008,165,8.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20009,275,6.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20010,250,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20011,288,4.48,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20012,350,4.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20013,240,6.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20014,150,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20015,150,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20016,252,3.36,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20017,210,5.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20018,245,3.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20019,150,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20020,275,6.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20021,275,6.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20022,324,5.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20023,220,7.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20024,292.5,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20025,240,6.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20026,292.5,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20027,240,6.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20028,300,5.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20029,325,4.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20030,240,6.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20031,300,5.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20032,325,4.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20033,240,6.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20034,300,5.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20035,325,4.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20036,240,6.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20037,300,5.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20038,325,4.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20039,292.5,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20040,195,6.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20041,325,4.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20042,325,4.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30001,440,10.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30002,495,13.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30003,585,10.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30004,648,8.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30005,480,9.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30006,350,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30007,500,10.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30008,600,8.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30009,600,8.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30010,600,8.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30011,600,8.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30012,390,9.45,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
