Item_Parts_ID,Item_Parts_Icon,Item_Parts_Name,Item_Parts_Combine,Item_Parts_Gain_1,Item_Parts_Sell,Item_Parts_Subject
62302,Parts/Icon_WindStonePiece_02,중급 바람의 속성석 조각,10,54302,10000,중급 바람의 속성석 조각 10개를 합쳐 1개의 중급 바람의 속성석을 제작 할 수 있는 조각
62402,Parts/Icon_WaterStonePiece_02,중급 물의 속성석 조각,10,54402,10000,중급 물의 속성석 조각 10개를 합쳐 1개의 중급 물의 속성석을 제작 할 수 있는 조각
62103,Parts/Icon_EarthStonePiece_03,상급 땅의 속성석 조각,10,54103,100000,상급 땅의 속성석 조각 10개를 합쳐 1개의 상급 땅의 속성석을 제작 할 수 있는 조각
62203,Parts/Icon_FireStonePiece_03,상급 불의 속성석 조각,10,54203,100000,상급 불의 속성석 조각 10개를 합쳐 1개의 상급 불의 속성석을 제작 할 수 있는 조각
62303,Parts/Icon_WindStonePiece_03,상급 바람의 속성석 조각,10,54303,100000,상급 바람의 속성석 조각 10개를 합쳐 1개의 상급 바람의 속성석을 제작 할 수 있는 조각
62403,Parts/Icon_WaterStonePiece_03,상급 물의 속성석 조각,10,54403,100000,상급 물의 속성석 조각 10개를 합쳐 1개의 상급 물의 속성석을 제작 할 수 있는 조각
63101,Parts/Icon_EquipmentPiece_Rare_01,집행자 레어 아이템 조각,10,31000,1000,집행자 레어 아이템 조각 10개를 합쳐 1개의 집행자 레어 장비를 제작할 수 있는 재료
63102,Parts/Icon_EquipmentPiece_Rare_02,도살자 레어 아이템 조각,10,32000,1000,도살자 레어 아이템 조각 10개를 합쳐 1개의 도살자 레어 장비를 제작할 수 있는 재료
63103,Parts/Icon_EquipmentPiece_Rare_03,응징자 레어 아이템 조각,10,33000,1000,응징자 레어 아이템 조각 10개를 합쳐 1개의 응징자 레어 장비를 제작할 수 있는 재료
63104,Parts/Icon_EquipmentPiece_Rare_04,초월자 레어 아이템 조각,10,34000,1000,초월자 레어 아이템 조각 10개를 합쳐 1개의 초월자 레어 장비를 제작할 수 있는 재료
63201,Parts/Icon_EquipmentPiece_Epic_01,집행자 에픽 아이템 조각,10,21000,10000,집행자 에픽 아이템 조각 10개를 합쳐 1개의 집행자 에픽 장비를 제작할 수 있는 재료
63202,Parts/Icon_EquipmentPiece_Epic_02,도살자 에픽 아이템 조각,10,22000,10000,도살자 에픽 아이템 조각 10개를 합쳐 1개의 도살자 에픽 장비를 제작할 수 있는 재료
63203,Parts/Icon_EquipmentPiece_Epic_03,응징자 에픽 아이템 조각,10,23000,10000,응징자 에픽 아이템 조각 10개를 합쳐 1개의 응징자 에픽 장비를 제작할 수 있는 재료
63204,Parts/Icon_EquipmentPiece_Epic_04,초월자 에픽 아이템 조각,10,24000,10000,초월자 에픽 아이템 조각 10개를 합쳐 1개의 초월자 에픽 장비를 제작할 수 있는 재료
63301,Parts/Icon_EquipmentPiece_Legendary_01,집행자 전설 아이템 조각,10,11000,100000,집행자 전설 아이템 조각 10개를 합쳐 1개의 집행자 전설 장비를 제작할 수 있는 재료
63302,Parts/Icon_EquipmentPiece_Legendary_02,도살자 전설 아이템 조각,10,12000,100000,도살자 전설 아이템 조각 10개를 합쳐 1개의 도살자 전설 장비를 제작할 수 있는 재료
63303,Parts/Icon_EquipmentPiece_Legendary_03,응징자 전설 아이템 조각,10,13000,100000,응징자 전설 아이템 조각 10개를 합쳐 1개의 응징자 전설 장비를 제작할 수 있는 재료
63304,Parts/Icon_EquipmentPiece_Legendary_04,초월자 전설 아이템 조각,10,14000,100000,초월자 전설 아이템 조각 10개를 합쳐 1개의 초월자 전설 장비를 제작할 수 있는 재료
