guid,icon,name,type,sell,option_1,option_2,option_3,desc_1,desc_2
51001,Use/Icon_StaminaPotion_01,하급 행동력 회복 물약,1,0,1,60,,사용 후 행동력을 즉시 회복합니다.,행동력 {0} 회복
51002,Use/Icon_StaminaPotion_02,중급 행동력 회복 물약,1,0,1,120,,사용 후 행동력을 즉시 회복합니다.,행동력 {0} 회복
51003,Use/Icon_StaminaPotion_03,상급 행동력 회복 물약,1,0,1,240,,사용 후 행동력을 즉시 회복합니다.,행동력 {0} 회복
52001,Use/Icon_EXPBook_01,하급 경험치 책,1,0,2,500,,사용 후 악마의 경험치가 증가 합니다.,경험치 {0} 습득
52002,Use/Icon_EXPBook_02,중급 경험치 책,1,0,2,2000,,사용 후 악마의 경험치가 증가 합니다.,경험치 {0} 습득
52003,Use/Icon_EXPBook_03,상급 경험치 책,1,0,2,8000,,사용 후 악마의 경험치가 증가 합니다.,경험치 {0} 습득
53001,Use/Icon_AutoPlay,반복 전투 사용권,1,0,3,1,,반복 전투 기능 사용 시 필요한 사용권,반복 전투 {0}회 사용
53002,Use/Icon_CharacterSummon_01,소환권 x1,1,0,4,1,,악마를 소환할 수 있는 영혼이 담긴 보석으로 소환에서 사용할 수 있다.,0
53003,Use/Icon_CharacterSummon_02,소환권 x10,1,0,4,10,,악마를 소환할 수 있는 영혼이 다수 담긴 보석으로 소환에서 사용할 수 있다.,0
54101,Use/Icon_EarthStone_01,하급 땅의 속성석,1,0,5,1,1,무기나 방어구에 땅 속성을 부여할 수 있는 속성석,땅 속성 {0} 부여
54201,Use/Icon_FireStone_01,하급 불의 속성석,1,0,5,2,1,무기나 방어구에 불 속성을 부여할 수 있는 속성석,불 속성 {0} 부여
54301,Use/Icon_WindStone_01,하급 바람의 속성석,1,0,5,3,1,무기나 방어구에 바람 속성을 부여할 수 있는 속성석,바람 속성 {0} 부여
54401,Use/Icon_WaterStone_01,하급 물의 속성석,1,0,5,4,1,무기나 방어구에 물 속성을 부여할 수 있는 속성석,물 속성 {0} 부여
54102,Use/Icon_EarthStone_02,중급 땅의 속성석,1,0,5,1,2,무기나 방어구에 땅 속성을 부여할 수 있는 속성석,땅 속성 {0} 부여
54202,Use/Icon_FireStone_02,중급 불의 속성석,1,0,5,2,2,무기나 방어구에 불 속성을 부여할 수 있는 속성석,불 속성 {0} 부여
54302,Use/Icon_WindStone_02,중급 바람의 속성석,1,0,5,3,2,무기나 방어구에 바람 속성을 부여할 수 있는 속성석,바람 속성 {0} 부여
54402,Use/Icon_WaterStone_02,중급 물의 속성석,1,0,5,4,2,무기나 방어구에 물 속성을 부여할 수 있는 속성석,물 속성 {0} 부여
54103,Use/Icon_EarthStone_03,상급 땅의 속성석,1,0,5,1,3,무기나 방어구에 땅 속성을 부여할 수 있는 속성석,땅 속성 {0} 부여
54203,Use/Icon_FireStone_03,상급 불의 속성석,1,0,5,2,3,무기나 방어구에 불 속성을 부여할 수 있는 속성석,불 속성 {0} 부여
54303,Use/Icon_WindStone_03,상급 바람의 속성석,1,0,5,3,3,무기나 방어구에 바람 속성을 부여할 수 있는 속성석,바람 속성 {0} 부여
54403,Use/Icon_WaterStone_03,상급 물의 속성석,1,0,5,4,3,무기나 방어구에 물 속성을 부여할 수 있는 속성석,물 속성 {0} 부여
61001,Soul/Icon_Soul_60001.png,데스나이트의 영혼,2,0,10001,10,,중복 소환된 데스나이트의 영혼. 데스나이트를 승급 시키는데 사용.,
61002,Soul/Icon_Soul_60002.png,리치의 영혼,2,0,10002,10,,중복 소환된 리치의 영혼. 리치를 승급 시키는데 사용.,
61003,Soul/Icon_Soul_60003.png,해골병사의 영혼,2,0,10003,10,,중복 소환된 해골병사의 영혼. 해골병사를 승급 시키는데 사용.,
61004,Soul/Icon_Soul_60004.png,해골궁수의 영혼,2,0,10004,10,,중복 소환된 해골궁수의 영혼. 해골궁수를 승급 시키는데 사용.,
61005,Soul/Icon_Soul_60005.png,누더기 골렘의 영혼,2,0,10005,10,,중복 소환된 누더기 골렘의 영혼. 누더기 골렘을 승급 시키는데 사용.,
61006,Soul/Icon_Soul_60006.png,오크로드의 영혼,2,0,10006,10,,중복 소환된 오크로드의 영혼. 오크로드를 승급 시키는데 사용.,
61007,Soul/Icon_Soul_60007.png,오크 전사의 영혼,2,0,10007,10,,중복 소환된 오크 전사의 영혼. 오크 전사를 승급 시키는데 사용.,
61008,Soul/Icon_Soul_60008.png,오크 라이더의 영혼,2,0,10008,10,,중복 소환된 오크 라이더의 영혼. 오크 라이더를 승급 시키는데 사용.,
61009,Soul/Icon_Soul_60009.png,서큐버스 퀸의 영혼,2,0,10009,10,,중복 소환된 서큐버스 퀸의 영혼. 서큐버스 퀸을 승급 시키는데 사용.,
61010,Soul/Icon_Soul_60010.png,서큐버스의 영혼,2,0,10010,10,,중복 소환된 서큐버스의 영혼. 서큐버스를 승급 시키는데 사용.,
61011,Soul/Icon_Soul_60011.png,비홀더의 영혼,2,0,10011,10,,중복 소환된 비홀더의 영혼. 비홀더를 승급 시키는데 사용.,
61012,Soul/Icon_Soul_60012.png,인큐버스의 영혼,2,0,10012,10,,중복 소환된 인큐버스의 영혼. 인큐버스를 승급 시키는데 사용.,
61013,Soul/Icon_Soul_60013.png,발록의 영혼,2,0,10013,10,,중복 소환된 발록의 영혼. 발록을 승급 시키는데 사용.,
61014,Soul/Icon_Soul_60014.png,바포메트의 영혼,2,0,10014,10,,중복 소환된 바포메트의 영혼. 바포메트를 승급 시키는데 사용.,
61015,Soul/Icon_Soul_60015.png,아수라의 영혼,2,0,10015,10,,중복 소환된 아수라의 영혼. 아수라를 승급 시키는데 사용.,
61016,Soul/Icon_Soul_60016.png,뱀파이어의 영혼,2,0,10016,10,,중복 소환된 뱀파이어의 영혼. 뱀파이어를 승급 시키는데 사용.,
61017,Soul/Icon_Soul_60017.png,폭탄고블린의 영혼,2,0,10017,10,,중복 소환된 폭탄고블린의 영혼. 폭탄고블린을 승급 시키는데 사용.,
61018,Soul/Icon_Soul_60018.png,고블린의 영혼,2,0,10018,10,,중복 소환된 고블린의 영혼. 고블린을 승급 시키는데 사용.,
61019,Soul/Icon_Soul_60019.png,보물고블린의 영혼,2,0,10019,10,,중복 소환된 보물고블린의 영혼. 보물고블린을 승급 시키는데 사용.,
61020,Soul/Icon_Soul_60020.png,순찰대장의 영혼,2,0,10020,10,,중복 소환된 순찰대장의 영혼. 순찰대장을 승급 시키는데 사용.,
61021,Soul/Icon_Soul_60021.png,암살자의 영혼,2,0,10021,10,,중복 소환된 암살자의 영혼. 암살자를 승급 시키는데 사용.,
61022,Soul/Icon_Soul_60022.png,맨드레이크의 영혼,2,0,10022,10,,중복 소환된 맨드레이크의 영혼. 맨드레이크를 승급 시키는데 사용.,
61023,Soul/Icon_Soul_60023.png,슬라임킹의 영혼,2,0,10023,10,,중복 소환된 슬라임킹의 영혼. 슬라임킹을 승급 시키는데 사용.,
61024,Soul/Icon_Soul_60024.png,슬라임의 영혼,2,0,10024,10,,중복 소환된 슬라임의 영혼. 슬라임을 승급 시키는데 사용.,
61025,Soul/Icon_Soul_60025.png,돌골렘의 영혼,2,0,10025,10,,중복 소환된 돌골렘의 영혼. 돌골렘을 승급 시키는데 사용.,
61026,Soul/Icon_Soul_60026.png,미믹의 영혼,2,0,10026,10,,중복 소환된 미믹의 영혼. 미믹을 승급 시키는데 사용.,
61027,Soul/Icon_Soul_60027.png,송곳니의 영혼,2,0,10027,10,,중복 소환된 송곳니의 영혼. 송곳니를 승급 시키는데 사용.,
61028,Soul/Icon_Soul_60028.png,늑대인간의 영혼,2,0,10028,10,,중복 소환된 늑대인간의 영혼. 늑대인간을 승급 시키는데 사용.,
61029,Soul/Icon_Soul_60029.png,놀 전사의 영혼,2,0,10029,10,,중복 소환된 놀 전사의 영혼. 놀 전사를 승급 시키는데 사용.,
61030,Soul/Icon_Soul_60030.png,놀 궁수의 영혼,2,0,10030,10,,중복 소환된 놀 궁수의 영혼. 놀 궁수를 승급 시키는데 사용.,
61031,Soul/Icon_Soul_60031.png,사이클롭스의 영혼,2,0,10031,10,,중복 소환된 사이클롭스의 영혼. 사이클롭스를 승급 시키는데 사용.,
61032,Soul/Icon_Soul_60032.png,오우거의 영혼,2,0,10032,10,,중복 소환된 오우거의 영혼. 오우거를 승급 시키는데 사용.,
61033,Soul/Icon_Soul_60033.png,하피퀸의 영혼,2,0,10033,10,,중복 소환된 하피퀸의 영혼. 하피퀸을 승급 시키는데 사용.,
61034,Soul/Icon_Soul_60034.png,하피의 영혼,2,0,10034,10,,중복 소환된 하피의 영혼. 하피를 승급 시키는데 사용.,
61035,Soul/Icon_Soul_60035.png,까마귀의 영혼,2,0,10035,10,,중복 소환된 까마귀의 영혼. 까마귀를 승급 시키는데 사용.,
62101,Parts/Icon_EarthStonePiece_01,하급 땅의 속성석 조각,2,1000,54101,10,,하급 땅의 속성석 조각 10개를 합쳐 1개의 하급 땅의 속성석을 제작 할 수 있는 조각,
62201,Parts/Icon_FireStonePiece_01,하급 불의 속성석 조각,2,1000,54201,10,,하급 불의 속성석 조각 10개를 합쳐 1개의 하급 불의 속성석을 제작 할 수 있는 조각,
62301,Parts/Icon_WindStonePiece_01,하급 바람의 속성석 조각,2,1000,54301,10,,하급 바람의 속성석 조각 10개를 합쳐 1개의 하급 바람의 속성석을 제작 할 수 있는 조각,
62401,Parts/Icon_WaterStonePiece_01,하급 물의 속성석 조각,2,1000,54401,10,,하급 물의 속성석 조각 10개를 합쳐 1개의 하급 물의 속성석을 제작 할 수 있는 조각,
62102,Parts/Icon_EarthStonePiece_02,중급 땅의 속성석 조각,2,10000,54102,10,,중급 땅의 속성석 조각 10개를 합쳐 1개의 중급 땅의 속성석을 제작 할 수 있는 조각,
62202,Parts/Icon_FireStonePiece_02,중급 불의 속성석 조각,2,10000,54202,10,,중급 불의 속성석 조각 10개를 합쳐 1개의 중급 불의 속성석을 제작 할 수 있는 조각,
62302,Parts/Icon_WindStonePiece_02,중급 바람의 속성석 조각,2,10000,54302,10,,중급 바람의 속성석 조각 10개를 합쳐 1개의 중급 바람의 속성석을 제작 할 수 있는 조각,
62402,Parts/Icon_WaterStonePiece_02,중급 물의 속성석 조각,2,10000,54402,10,,중급 물의 속성석 조각 10개를 합쳐 1개의 중급 물의 속성석을 제작 할 수 있는 조각,
62103,Parts/Icon_EarthStonePiece_03,상급 땅의 속성석 조각,2,100000,54103,10,,상급 땅의 속성석 조각 10개를 합쳐 1개의 상급 땅의 속성석을 제작 할 수 있는 조각,
62203,Parts/Icon_FireStonePiece_03,상급 불의 속성석 조각,2,100000,54203,10,,상급 불의 속성석 조각 10개를 합쳐 1개의 상급 불의 속성석을 제작 할 수 있는 조각,
62303,Parts/Icon_WindStonePiece_03,상급 바람의 속성석 조각,2,100000,54303,10,,상급 바람의 속성석 조각 10개를 합쳐 1개의 상급 바람의 속성석을 제작 할 수 있는 조각,
62403,Parts/Icon_WaterStonePiece_03,상급 물의 속성석 조각,2,100000,54403,10,,상급 물의 속성석 조각 10개를 합쳐 1개의 상급 물의 속성석을 제작 할 수 있는 조각,
63101,Parts/Icon_EquipmentPiece_Rare_01,집행자 레어 아이템 조각,2,1000,31000,10,,집행자 레어 아이템 조각 10개를 합쳐 1개의 집행자 레어 장비를 제작할 수 있는 재료,
63102,Parts/Icon_EquipmentPiece_Rare_02,도살자 레어 아이템 조각,2,1000,32000,10,,도살자 레어 아이템 조각 10개를 합쳐 1개의 도살자 레어 장비를 제작할 수 있는 재료,
63103,Parts/Icon_EquipmentPiece_Rare_03,응징자 레어 아이템 조각,2,1000,33000,10,,응징자 레어 아이템 조각 10개를 합쳐 1개의 응징자 레어 장비를 제작할 수 있는 재료,
63104,Parts/Icon_EquipmentPiece_Rare_04,초월자 레어 아이템 조각,2,1000,34000,10,,초월자 레어 아이템 조각 10개를 합쳐 1개의 초월자 레어 장비를 제작할 수 있는 재료,
63201,Parts/Icon_EquipmentPiece_Epic_01,집행자 에픽 아이템 조각,2,10000,21000,10,,집행자 에픽 아이템 조각 10개를 합쳐 1개의 집행자 에픽 장비를 제작할 수 있는 재료,
63202,Parts/Icon_EquipmentPiece_Epic_02,도살자 에픽 아이템 조각,2,10000,22000,10,,도살자 에픽 아이템 조각 10개를 합쳐 1개의 도살자 에픽 장비를 제작할 수 있는 재료,
63203,Parts/Icon_EquipmentPiece_Epic_03,응징자 에픽 아이템 조각,2,10000,23000,10,,응징자 에픽 아이템 조각 10개를 합쳐 1개의 응징자 에픽 장비를 제작할 수 있는 재료,
63204,Parts/Icon_EquipmentPiece_Epic_04,초월자 에픽 아이템 조각,2,10000,24000,10,,초월자 에픽 아이템 조각 10개를 합쳐 1개의 초월자 에픽 장비를 제작할 수 있는 재료,
63301,Parts/Icon_EquipmentPiece_Legendary_01,집행자 전설 아이템 조각,2,100000,11000,10,,집행자 전설 아이템 조각 10개를 합쳐 1개의 집행자 전설 장비를 제작할 수 있는 재료,
63302,Parts/Icon_EquipmentPiece_Legendary_02,도살자 전설 아이템 조각,2,100000,12000,10,,도살자 전설 아이템 조각 10개를 합쳐 1개의 도살자 전설 장비를 제작할 수 있는 재료,
63303,Parts/Icon_EquipmentPiece_Legendary_03,응징자 전설 아이템 조각,2,100000,13000,10,,응징자 전설 아이템 조각 10개를 합쳐 1개의 응징자 전설 장비를 제작할 수 있는 재료,
63304,Parts/Icon_EquipmentPiece_Legendary_04,초월자 전설 아이템 조각,2,100000,14000,10,,초월자 전설 아이템 조각 10개를 합쳐 1개의 초월자 전설 장비를 제작할 수 있는 재료,
70001,Box/Icon_SoulBox_01,악마의 영혼 상자 (소),3,0,[61000],1:20,,"악마의 영혼이 담긴 상자.
사용 시 악마의 영혼 획득 가능.",
70002,Box/Icon_SoulBox_02,악마의 영혼 상자 (중),3,0,[61000],10:50,,"고위 악마의 영혼이 담긴 상자.
사용 시 악마의 영혼 획득 가능.",
70003,Box/Icon_SoulBox_03,악마의 영혼 상자 (대),3,0,[61000],30:100,,"고대 악마의 영혼이 담긴 상자.
사용 시 악마의 영혼 획득 가능.",
70004,Box/Icon_StaminaBox_01,행동력 상자 (소),3,0,[51001],2:03,,사용 시 행동력 회복 물약을 획득할 수 있다.,
70005,Box/Icon_StaminaBox_02,행동력 상자 (중),3,0,[51002],2:03,,사용 시 행동력 회복 물약을 획득할 수 있다.,
70006,Box/Icon_StaminaBox_03,행동력 상자 (대),3,0,[51003],2:03,,사용 시 행동력 회복 물약을 획득할 수 있다.,
70007,Box/Icon_EXPBox_01,경험치 상자 (소),3,0,[52001],7:10,,사용 시 경험치 책을 획득 할 수 있는 상자,
70008,Box/Icon_EXPBox_02,경험치 상자 (중),3,0,[52002],7:10,,사용 시 경험치 책을 획득 할 수 있는 상자,
70009,Box/Icon_EXPBox_03,경험치 상자 (대),3,0,[52003],7:10,,사용 시 경험치 책을 획득 할 수 있는 상자,
70010,Box/Icon_ElementalStoneBox_01,속성석 상자 (소),3,0,"[54101,54201,54301,54401]","1:3,1:3,1:3,1:3",,사용 시 하위 등급의 속성석 획득 가능,
70011,Box/Icon_ElementalStoneBox_02,속성석 상자 (중),3,0,"[54102,54202,54302,54402]","1:3,1:3,1:3,1:3",,사용 시 중간 등급의 속성석 획득 가능,
70012,Box/Icon_ElementalStoneBox_03,속성석 상자 (대),3,0,"[54103,54203,54303,54403]","1:3,1:3,1:3,1:3",,사용 시 상위 등급의 속성석 획득 가능,
70013,Box/Icon_EquipmentBox_01,장비 아이템 상자 (소),3,0,[30000],1:02,,사용 시 장비 아이템을 제작할 수 있는 재료 획득 가능.,
70014,Box/Icon_EquipmentBox_02,장비 아이템 상자 (중),3,0,[20000],1:02,,사용 시 장비 아이템을 제작할 수 있는 재료 획득 가능.,
70015,Box/Icon_EquipmentBox_03,장비 아이템 상자 (대),3,0,[10000],1:02,,사용 시 장비 아이템을 제작할 수 있는 재료 획득 가능.,
70016,Box/Icon_GoldBox_01,골드 상자 (소),3,0,[2],1000:3000,,사용 시 골드 획득,
70017,Box/Icon_GoldBox_02,골드 상자 (증),3,0,[2],3000:8000,,사용 시 골드 획득,
70018,Box/Icon_GoldBox_03,골드 상자 (대),3,0,[2],8000:12000,,사용 시 골드 획득,
70019,Box/,일반 상자,3,0,1,50:50:00,,사용 시 재화 및 아이템을 획득할 수 있는 상자,
70020,Box/,고급 상자,3,0,1,100:100,,사용 시 재화 및 아이템을 획득할 수 있는 상자,
70021,Box/,최고급 상자,3,0,1,200:200,,사용 시 재화 및 아이템을 획득할 수 있는 상자,
