Item_Parts_ID,Item_Parts_Icon,Item_Parts_Name,Item_Parts_Combine,Item_Parts_Gain_1,Item_Parts_Sell,Item_Parts_Subject
60039,60039,하급 물의 속성석 조각,10,54004,1000,하급 물의 속성석 조각 10개를 합쳐 1개의 하급 물의 속성석을 제작 할 수 있는 조각
60040,60040,중급 땅의 속성석 조각,10,54005,10000,중급 땅의 속성석 조각 10개를 합쳐 1개의 중급 땅의 속성석을 제작 할 수 있는 조각
60041,60041,중급 불의 속성석 조각,10,54006,10000,중급 불의 속성석 조각 10개를 합쳐 1개의 중급 불의 속성석을 제작 할 수 있는 조각
60042,60042,중급 바람의 속성석 조각,10,54007,10000,중급 바람의 속성석 조각 10개를 합쳐 1개의 중급 바람의 속성석을 제작 할 수 있는 조각
60043,60043,중급 물의 속성석 조각,10,54008,10000,중급 물의 속성석 조각 10개를 합쳐 1개의 중급 물의 속성석을 제작 할 수 있는 조각
60044,60044,상급 땅의 속성석 조각,10,54009,100000,상급 땅의 속성석 조각 10개를 합쳐 1개의 상급 땅의 속성석을 제작 할 수 있는 조각
60045,60045,상급 불의 속성석 조각,10,54010,100000,상급 불의 속성석 조각 10개를 합쳐 1개의 상급 불의 속성석을 제작 할 수 있는 조각
60046,60046,상급 바람의 속성석 조각,10,54011,100000,상급 바람의 속성석 조각 10개를 합쳐 1개의 상급 바람의 속성석을 제작 할 수 있는 조각
60047,60047,상급 물의 속성석 조각,10,54012,100000,상급 물의 속성석 조각 10개를 합쳐 1개의 상급 물의 속성석을 제작 할 수 있는 조각
60048,60048,레어 장비 아이템 조각,10,300,1000,레어 장비 조각 10개로 레어 장비 아이템을 제작할 수 있는 재료
60049,60049,에픽 장비 아이템 조각,10,200,10000,에픽 장비 조각 10개로 레어 장비 아이템을 제작할 수 있는 재료
60050,60050,전설 장비 아이템 조각,10,100,100000,전설 장비 조각 10개로 레어 장비 아이템을 제작할 수 있는 재료
