Castle_Level,Castle_Sound_Hit,Castle_Gold,Castle_Slot,Castle_HP,Castle_Object_Value,Castle_Object_HP,Castle_Skill_1,Castle_Skill_Icon_1,Castle_Effect_1,Castle_Effect_Unit_1,Castle_Skill_Sound_1,Castle_Skill_Range_1,Castle_Skill_Time_1,Castle_Skill_Value_1,Castle_Skill_2,Castle_Skill_Icon_2,Castle_Effect_2,Castle_Effect_Unit_2,Castle_Skill_Sound_2,Castle_Skill_Range_2,Castle_Skill_Time_2,Castle_Skill_Value_2,Castle_Skill_3,Castle_Skill_Icon_3,Castle_Effect_3,Castle_Effect_Unit_3,Castle_Skill_Sound_3,Castle_Skill_Range_3,Castle_Skill_Time_3,Castle_Skill_Value_3,Castle_Skill_4,Castle_Skill_Icon_4,Castle_Effect_4,Castle_Effect_Unit_4,Castle_Skill_Sound_4,Castle_Skill_Range_4,Castle_Skill_Time_4,Castle_Skill_Value_4
11,Sound/Fx/Unit/FX_Skill_SL.mp3,9784,6,11000,2,21000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,200,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,200,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,1,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,700
12,Sound/Fx/Unit/FX_Skill_SL.mp3,10273,6,12000,2,23000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,210,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,210,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,1,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,720
13,Sound/Fx/Unit/FX_Skill_SL.mp3,10787,6,13000,2,25000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,220,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,220,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,1,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,740
14,Sound/Fx/Unit/FX_Skill_SL.mp3,11326,6,14000,2,27000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,230,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,230,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,760
15,Sound/Fx/Unit/FX_Skill_SL.mp3,11892,6,15000,2,29000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,240,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,240,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,780
16,Sound/Fx/Unit/FX_Skill_SL.mp3,12487,7,16000,2,31000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,250,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,250,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,800
17,Sound/Fx/Unit/FX_Skill_SL.mp3,13111,7,17000,2,33000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,260,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,260,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,820
18,Sound/Fx/Unit/FX_Skill_SL.mp3,13767,7,18000,2,35000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,270,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,270,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,840
19,Sound/Fx/Unit/FX_Skill_SL.mp3,14455,7,19000,2,37000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,280,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,280,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,860
20,Sound/Fx/Unit/FX_Skill_SL.mp3,17346,8,20000,3,39000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,290,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,290,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,880
21,Sound/Fx/Unit/FX_Skill_SL.mp3,18214,8,21000,3,41000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,300,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,300,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,900
22,Sound/Fx/Unit/FX_Skill_SL.mp3,19124,8,22000,3,43000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,310,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,310,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,920
23,Sound/Fx/Unit/FX_Skill_SL.mp3,20080,8,23000,3,45000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,320,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,320,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,940
24,Sound/Fx/Unit/FX_Skill_SL.mp3,21084,9,24000,3,47000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,330,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,330,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,960
25,Sound/Fx/Unit/FX_Skill_SL.mp3,22139,9,25000,3,49000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,340,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,340,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,980
26,Sound/Fx/Unit/FX_Skill_SL.mp3,23246,9,26000,3,51000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,350,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,350,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,1000
27,Sound/Fx/Unit/FX_Skill_SL.mp3,24408,9,27000,3,53000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,360,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,360,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,1020
28,Sound/Fx/Unit/FX_Skill_SL.mp3,25628,9,28000,3,55000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,370,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,370,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,1040
29,Sound/Fx/Unit/FX_Skill_SL.mp3,26910,10,29000,3,57000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,380,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,380,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,1060
30,Sound/Fx/Unit/FX_Skill_SL.mp3,34983,10,30000,4,59000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,390,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,390,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,1080
31,Sound/Fx/Unit/FX_Skill_SL.mp3,36732,10,31000,4,61000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,400,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,400,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,1100
32,Sound/Fx/Unit/FX_Skill_SL.mp3,38568,10,32000,4,63000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,410,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,410,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,1120
33,Sound/Fx/Unit/FX_Skill_SL.mp3,40497,10,33000,4,65000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,420,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,420,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,1140
34,Sound/Fx/Unit/FX_Skill_SL.mp3,42522,10,34000,4,67000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,430,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,430,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,1160
35,Sound/Fx/Unit/FX_Skill_SL.mp3,44648,10,35000,4,69000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,440,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,440,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,1180
36,Sound/Fx/Unit/FX_Skill_SL.mp3,46880,10,36000,4,71000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,450,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,450,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,1200
37,Sound/Fx/Unit/FX_Skill_SL.mp3,49224,10,37000,4,73000,Shield,Common/Icon/Icon_Skill_Global_01.png,Effect_Global_01,,Sound/Fx/Castle/FX_Skill_MagneticField.mp3,5,30,460,Damage,Common/Icon/Icon_Skill_Global_02.png,Effect_Global_02,,Sound/Fx/Castle/FX_Skill_FX_BossSkill_Breath.mp3,5,30,460,Sturn,Common/Icon/Icon_Skill_Global_03.png,Effect_Global_03,,Sound/Fx/Castle/FX_Skill_FX_Skill_StemCircle.mp3,5,30,2,Heal,Common/Icon/Icon_Skill_Global_04.png,Effect_Global_04,Effect_Heal,Sound/Fx/Castle/FX_Skill_Item_Shield.mp3,5,30,1220
