Item_Equip_ID,Item_Equip_Icon,Item_Equip_Name,Item_Equip_Class,Item_Equip_Slot,Item_Equip_Set,Item_Equip_Set_Type_1,Item_Equip_Set_Value_1,Item_Equip_Set_Type_2,Item_Equip_Set_Value_2,Item_Equip_Set_Type_3,Item_Equip_Set_Value_3,Item_Equip_Sell,Item_Equip_Subject
20011,20011,암살자의 반지,2,2,응징,HP증가,0.1,,,,,1000,
20012,20012,암살자의 목걸이,2,3,응징,HP증가,0.1,,,,,1000,
20013,20013,마법사의 지팡이,2,0,초월,이동속도 증가,0.05,,,,,1000,
20014,20014,마법사의 로브,2,1,초월,이동속도 증가,0.05,,,,,1000,
20015,20015,마법사의 반지,2,2,초월,이동속도 증가,0.05,,,,,1000,
20016,20016,마법사의 목걸이,2,3,초월,이동속도 증가,0.05,,,,,1000,
10001,10001,집행자의 대검,1,0,집행,치명타율 증가,0.1,공격 범위 증가,0.5,,,10000,
10002,10002,집행자의 판금갑옷,1,1,집행,치명타율 증가,0.1,공격 범위 증가,0.5,,,10000,
10003,10003,집행자의 반지,1,2,집행,치명타율 증가,0.1,공격 범위 증가,0.5,,,10000,
10004,10004,집행자의 목걸이,1,3,집행,치명타율 증가,0.1,공격 범위 증가,0.5,,,10000,
10005,10005,도살자의 도끼,1,0,도살,공격속도 증가,0.05,치명타 피해 증가,0.1,,,10000,
10006,10006,도살자의 사슬갑옷,1,1,도살,공격속도 증가,0.05,치명타 피해 증가,0.1,,,10000,
10007,10007,도살자의 반지,1,2,도살,공격속도 증가,0.05,치명타 피해 증가,0.1,,,10000,
10008,10008,도살자의 목걸이,1,3,도살,공격속도 증가,0.05,치명타 피해 증가,0.1,,,10000,
10009,10009,응징의 단검,1,0,응징,HP증가,0.1,이동 범위 증가,0.1,,,10000,
10010,10010,응징의 가죽갑옷,1,1,응징,HP증가,0.1,이동 범위 증가,0.1,,,10000,
10011,10011,응징의 반지,1,2,응징,HP증가,0.1,이동 범위 증가,0.1,,,10000,
10012,10012,응징의 목걸이,1,3,응징,HP증가,0.1,이동 범위 증가,0.1,,,10000,
10013,10013,초월자의 지팡이,1,0,초월,이동속도 증가,0.05,공격속도 증가,0.1,,,10000,
10014,10014,초월자의 로브,1,1,초월,이동속도 증가,0.05,공격속도 증가,0.1,,,10000,
10015,10015,초월자의 반지,1,2,초월,이동속도 증가,0.05,공격속도 증가,0.1,,,10000,
10016,10016,초월자의 목걸이,1,3,초월,이동속도 증가,0.05,공격속도 증가,0.1,,,10000,
1,1,집행자의 대검+,0,0,집행,치명타율 증가,0.1,공격 범위 증가,0.5,공격속도 증가,0.1,100000,
2,2,집행자의 판금갑옷+,0,1,집행,치명타율 증가,0.1,공격 범위 증가,0.5,공격속도 증가,0.1,100000,
3,3,집행자의 반지+,0,2,집행,치명타율 증가,0.1,공격 범위 증가,0.5,공격속도 증가,0.1,100000,
4,4,집행자의 목걸이+,0,3,집행,치명타율 증가,0.1,공격 범위 증가,0.5,공격속도 증가,0.1,100000,
5,5,도살자의 도끼+,0,0,도살,공격속도 증가,0.05,치명타 피해 증가,0.1,공격력 증가,0.1,100000,
6,6,도살자의 사슬갑옷+,0,1,도살,공격속도 증가,0.05,치명타 피해 증가,0.1,공격력 증가,0.1,100000,
7,7,도살자의 반지+,0,2,도살,공격속도 증가,0.05,치명타 피해 증가,0.1,공격력 증가,0.1,100000,
8,8,도살자의 목걸이+,0,3,도살,공격속도 증가,0.05,치명타 피해 증가,0.1,공격력 증가,0.1,100000,
9,9,응징의 단검+,0,0,응징,HP증가,0.1,이동 범위 증가,0.1,이동속도 증가,0.1,100000,
10,10,응징의 가죽갑옷+,0,1,응징,HP증가,0.1,이동 범위 증가,0.1,이동속도 증가,0.1,100000,
11,11,응징의 반지+,0,2,응징,HP증가,0.1,이동 범위 증가,0.1,이동속도 증가,0.1,100000,
12,12,응징의 목걸이+,0,3,응징,HP증가,0.1,이동 범위 증가,0.1,이동속도 증가,0.1,100000,
13,13,초월자의 지팡이+,0,0,초월,이동속도 증가,0.05,공격속도 증가,0.1,치명타 피해 증가,0.1,100000,
14,14,초월자의 로브+,0,1,초월,이동속도 증가,0.05,공격속도 증가,0.1,치명타 피해 증가,0.1,100000,
15,15,초월자의 반지+,0,2,초월,이동속도 증가,0.05,공격속도 증가,0.1,치명타 피해 증가,0.1,100000,
16,16,초월자의 목걸이+,0,3,초월,이동속도 증가,0.05,공격속도 증가,0.1,치명타 피해 증가,0.1,100000,
