Dg_index,Dg_Image,Dg_Bg,Dg_Sound,Dg_Name,Dg_Type,Dg_Act,Dg_Time,Dg_Week,Dg_Lv,Dg_Rwd_Gold_Min,Dg_Rwd_Gold_Max,Dg_Rwd_Item_Grp_ID,Dg_Mob_Wave,Dg_Comment,Dg_ClearCondition_1,Dg_ClearCondition_2,Dg_ClearCondition_3
33,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,도살자 보스 레이드,2,15,300,3,3,1400,2000,26,90030,,2,,
34,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,도살자 보스 레이드,2,15,300,3,4,1750,2500,27,90031,,2,,
35,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,도살자 보스 레이드,2,15,300,3,5,2100,3000,28,90032,,2,,
36,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,도살자 보스 레이드,2,15,300,3,6,2450,3500,29,90033,,2,,
37,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,도살자 보스 레이드,2,15,300,3,7,2800,4000,30,90034,,2,,
38,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,도살자 보스 레이드,2,15,300,3,8,3150,4500,31,90035,,2,,
39,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,도살자 보스 레이드,2,15,300,3,9,3500,5000,32,90036,,2,,
41,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,응징자 보스 레이드,2,15,300,4,1,700,1000,33,90037,,2,,
42,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,응징자 보스 레이드,2,15,300,4,2,1050,1500,34,90038,,2,,
43,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,응징자 보스 레이드,2,15,300,4,3,1400,2000,35,90039,,2,,
44,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,응징자 보스 레이드,2,15,300,4,4,1750,2500,36,90040,,2,,
45,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,응징자 보스 레이드,2,15,300,4,5,2100,3000,37,90041,,2,,
46,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,응징자 보스 레이드,2,15,300,4,6,2450,3500,38,90042,,2,,
47,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,응징자 보스 레이드,2,15,300,4,7,2800,4000,39,90043,,2,,
48,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,응징자 보스 레이드,2,15,300,4,8,3150,4500,40,90044,,2,,
49,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,응징자 보스 레이드,2,15,300,4,9,3500,5000,41,90045,,2,,
51,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,초월자 보스 레이드,2,15,300,5,1,700,1000,42,90046,,2,,
52,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,초월자 보스 레이드,2,15,300,5,2,1050,1500,43,90047,,2,,
53,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,초월자 보스 레이드,2,15,300,5,3,1400,2000,44,90048,,2,,
54,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,초월자 보스 레이드,2,15,300,5,4,1750,2500,45,90049,,2,,
55,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,초월자 보스 레이드,2,15,300,5,5,2100,3000,46,90050,,2,,
56,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,초월자 보스 레이드,2,15,300,5,6,2450,3500,47,90051,,2,,
57,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,초월자 보스 레이드,2,15,300,5,7,2800,4000,48,90052,,2,,
58,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,초월자 보스 레이드,2,15,300,5,8,3150,4500,49,90053,,2,,
59,Common/DungeonBanner/Banner_Dungeon_BossRaid.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,초월자 보스 레이드,2,15,300,5,9,3500,5000,50,90054,,2,,
61,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,땅의 정령계 침공,3,15,180,2,1,700,1000,51,90055,,0,1,
62,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,땅의 정령계 침공,3,15,180,2,2,1050,1500,52,90056,,0,1,
63,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,땅의 정령계 침공,3,15,180,2,3,1400,2000,53,90057,,0,1,
64,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,땅의 정령계 침공,3,15,180,2,4,1750,2500,54,90058,,0,1,
65,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,땅의 정령계 침공,3,15,180,2,5,2100,3000,55,90059,,0,1,
66,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,땅의 정령계 침공,3,15,180,2,6,2450,3500,56,90060,,0,1,
67,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,땅의 정령계 침공,3,15,180,2,7,2800,4000,57,90061,,0,1,
68,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,땅의 정령계 침공,3,15,180,2,8,3150,4500,58,90062,,0,1,
69,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_03.prefab,Sound/Bgm/BGM_03.mp3,땅의 정령계 침공,3,15,180,2,9,3500,5000,59,90063,,0,1,
71,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,불의 정령계 침고,3,15,180,3,1,700,1000,60,90064,,0,1,
72,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,불의 정령계 침고,3,15,180,3,2,1050,1500,61,90065,,0,1,
73,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,불의 정령계 침고,3,15,180,3,3,1400,2000,62,90066,,0,1,
74,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,불의 정령계 침고,3,15,180,3,4,1750,2500,63,90067,,0,1,
75,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,불의 정령계 침고,3,15,180,3,5,2100,3000,64,90068,,0,1,
76,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,불의 정령계 침고,3,15,180,3,6,2450,3500,65,90069,,0,1,
77,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,불의 정령계 침고,3,15,180,3,7,2800,4000,66,90070,,0,1,
78,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,불의 정령계 침고,3,15,180,3,8,3150,4500,67,90071,,0,1,
79,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_02.prefab,Sound/Bgm/BGM_02.mp3,불의 정령계 침고,3,15,180,3,9,3500,5000,68,90072,,0,1,
81,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,바람의 정령계 침공,3,15,180,4,1,700,1000,69,90073,,0,1,
82,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,바람의 정령계 침공,3,15,180,4,2,1050,1500,70,90074,,0,1,
83,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,바람의 정령계 침공,3,15,180,4,3,1400,2000,71,90075,,0,1,
84,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,바람의 정령계 침공,3,15,180,4,4,1750,2500,72,90076,,0,1,
85,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,바람의 정령계 침공,3,15,180,4,5,2100,3000,73,90077,,0,1,
86,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,바람의 정령계 침공,3,15,180,4,6,2450,3500,74,90078,,0,1,
87,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,바람의 정령계 침공,3,15,180,4,7,2800,4000,75,90079,,0,1,
88,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,바람의 정령계 침공,3,15,180,4,8,3150,4500,76,90080,,0,1,
89,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_01.prefab,Sound/Bgm/BGM_01.mp3,바람의 정령계 침공,3,15,180,4,9,3500,5000,77,90081,,0,1,
91,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,물의 정령계 침공,3,15,180,5,1,700,1000,78,90082,,0,1,
92,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,물의 정령계 침공,3,15,180,5,2,1050,1500,79,90083,,0,1,
93,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,물의 정령계 침공,3,15,180,5,3,1400,2000,80,90084,,0,1,
94,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,물의 정령계 침공,3,15,180,5,4,1750,2500,81,90085,,0,1,
95,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,물의 정령계 침공,3,15,180,5,5,2100,3000,82,90086,,0,1,
96,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,물의 정령계 침공,3,15,180,5,6,2450,3500,83,90087,,0,1,
97,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,물의 정령계 침공,3,15,180,5,7,2800,4000,84,90088,,0,1,
98,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,물의 정령계 침공,3,15,180,5,8,3150,4500,85,90089,,0,1,
99,Common/DungeonBanner/Banner_Dungeon_Elemental.png,Maps/Map_04.prefab,Sound/Bgm/BGM_04.mp3,물의 정령계 침공,3,15,180,5,9,3500,5000,86,90090,,0,1,
