Dg_index,Dg_Image,Dg_Bg,Dg_Name,Dg_Act,Dg_Time,Dg_Week,Dg_Lv,Dg_Rwd_Gold_Min,Dg_Rwd_Gold_Max,Dg_Rwd_Item_Grp_ID,Dg_Mob_Wave,Dg_Comment,Dg_ClearCondition_1,Dg_ClearCondition_2,Dg_ClearCondition_3
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,3,2600,3900,53,90057,,0,1,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,4,3500,5250,54,90058,,0,1,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,5,4400,6600,55,90059,,0,1,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,6,5300,7950,56,90060,,0,1,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,7,6200,9300,57,90061,,0,1,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,8,7100,10650,58,90062,,0,1,
6,Dg_7,Bg_01,땅의 정령계 침공,15,100,2,9,8000,12000,59,90063,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,1,800,1200,60,90064,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,2,1700,2550,61,90065,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,3,2600,3900,62,90066,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,4,3500,5250,63,90067,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,5,4400,6600,64,90068,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,6,5300,7950,65,90069,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,7,6200,9300,66,90070,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,8,7100,10650,67,90071,,0,1,
7,Dg_8,Bg_02,불의 정령계 침고,15,100,3,9,8000,12000,68,90072,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,1,800,1200,69,90073,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,2,1700,2550,70,90074,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,3,2600,3900,71,90075,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,4,3500,5250,72,90076,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,5,4400,6600,73,90077,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,6,5300,7950,74,90078,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,7,6200,9300,75,90079,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,8,7100,10650,76,90080,,0,1,
8,Dg_9,Bg_03,바람의 정령계 침공,15,100,4,9,8000,12000,77,90081,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,1,800,1200,78,90082,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,2,1700,2550,79,90083,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,3,2600,3900,80,90084,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,4,3500,5250,81,90085,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,5,4400,6600,82,90086,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,6,5300,7950,83,90087,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,7,6200,9300,84,90088,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,8,7100,10650,85,90089,,0,1,
9,Dg_10,Bg_04,물의 정령계 침공,15,100,5,9,8000,12000,86,90090,,0,1,
