Character_ID,Character_Hp_Up,Character_Atk_Up,Character_Cri_Up,Character_Cri_Damage_Up,Character_Speed_Atk_Up,Character_Speed_Move_Up,Character_Range_Atk_Up,Character_Range_Move_Up,Rate_1_option_1,Rate_1_option_Value_1,Rate_1_option_2,Rate_1_option_Value_2,Rate_2_option_1,Rate_2_option_Value_1,Rate_2_option_2,Rate_2_option_Value_2,Rate_3_option_1,Rate_3_option_Value_1,Rate_3_option_2,Rate_3_option_Value_2,Rate_4_option_1,Rate_4_option_Value_1,Rate_4_option_2,Rate_4_option_Value_2,Rate_5_option_1,Rate_5_option_Value_1,Rate_5_option_2,Rate_5_option_Value_2
10015,150,13.5,0.001,0.001,0,0,0,0,2,500,5,0.1,2,500,3,0.05,0,2,,,4,0.02,5,0.1,0,3,,
10016,300,8.4,0.001,0.001,0,0,0,0,1,100,1,100,0,2,,,3,0.05,4,0.02,2,500,1,100,0,3,,
10017,250,10.5,0.001,0.001,0,0,0,0,5,0.1,4,0.02,0,2,,,5,0.1,6,0.1,2,500,6,0.1,0,3,,
10018,192.5,8.1,0.001,0.001,0,0,0,0,2,500,4,0.02,0,2,,,1,100,5,0.1,1,100,5,0.1,0,3,,
10019,275,9.45,0.001,0.001,0,0,0,0,1,100,6,0.1,0,2,,,2,500,1,100,4,0.02,4,0.02,0,3,,
10020,150,13.5,0.001,0.001,0,0,0,0,6,0.1,6,0.1,0,2,,,1,100,4,0.02,1,100,2,500,0,3,,
10021,175,9,0.001,0.001,0,0,0,0,1,100,4,0.02,0,2,,,4,0.02,4,0.02,0,3,,,4,0.02,3,0.05
10022,210,8.1,0.001,0.001,0,0,0,0,2,500,2,500,0,2,,,6,0.1,6,0.1,5,0.1,1,100,0,3,,
10023,288,6.72,0.001,0.001,0,0,0,0,3,0.05,4,0.02,0,2,,,1,100,2,500,5,0.1,1,100,0,3,,
10024,350,6.3,0.001,0.001,0,0,0,0,3,0.05,3,0.05,2,500,3,0.05,0,2,,,4,0.02,2,500,0,3,,
10025,288,6.72,0.001,0.001,0,0,0,0,1,100,2,500,0,2,,,1,100,3,0.05,0,3,,,1,100,2,500
10026,227.5,6.3,0.001,0.001,0,0,0,0,2,500,3,0.05,0,2,,,3,0.05,6,0.1,1,100,5,0.1,0,3,,
10027,200,12,0.001,0.001,0,0,0,0,3,0.05,1,100,3,0.05,6,0.1,0,2,,,3,0.05,1,100,0,3,,
10028,220,10.8,0.001,0.001,0,0,0,0,4,0.02,5,0.1,0,2,,,2,500,1,100,1,100,4,0.02,0,3,,
10029,220,10.8,0.001,0.001,0,0,0,0,6,0.1,6,0.1,0,2,,,4,0.02,6,0.1,5,0.1,6,0.1,0,3,,
10030,165,12.15,0.001,0.001,0,0,0,0,2,500,6,0.1,5,0.1,2,500,0,2,,,4,0.02,2,500,0,3,,
10031,250,10.5,0.001,0.001,0,0,0,0,2,500,3,0.05,0,2,,,1,100,1,100,4,0.02,5,0.1,0,3,,
10032,292.5,10.5,0.001,0.001,0,0,0,0,3,0.05,2,500,0,2,,,4,0.02,2,500,0,3,,,4,0.02,1,100
10033,150,13.5,0.001,0.001,0,0,0,0,1,100,5,0.1,0,2,,,3,0.05,2,500,1,100,3,0.05,0,3,,
10034,250,10.5,0.001,0.001,0,0,0,0,4,0.02,3,0.05,0,2,,,4,0.02,5,0.1,5,0.1,1,100,0,3,,
10035,175,9,0.001,0.001,0,0,0,0,5,0.1,5,0.1,0,2,,,3,0.05,3,0.05,0,3,,,4,0.02,2,500
20001,220,7.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20002,247.5,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20003,192.5,5.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20004,175,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20005,150,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20006,350,4.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20007,292.5,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20008,165,8.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20009,275,6.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20010,250,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20011,288,4.48,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20012,350,4.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20013,240,6.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20014,150,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20015,150,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20016,252,3.36,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20017,210,5.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20018,245,3.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20019,150,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20020,275,6.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20021,275,6.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20022,324,5.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20023,220,7.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20024,292.5,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20025,240,6.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20026,292.5,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20027,240,6.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20028,300,5.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20029,325,4.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20030,292.5,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20031,195,6.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20032,325,4.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20033,325,4.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30001,440,10.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30002,495,13.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30003,585,10.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30004,648,8.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30005,480,9.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30006,350,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30007,500,10.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30008,600,8.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30009,390,9.45,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"0 스킬
1 공격력 증가
2 체력 증가
3 공격속도
4 이동속도
5 치명타율
6 치명타 피해",,,,,,,,,,,,,,,,,,,,,,,
,,,데스나이트,딜탱,,,,,체력,,,,,,,,,,,,,,,,,,,
,,,리치,퓨어,,,,,공격,,,,,,,,,,,,,,,,,,,
,,,해골 병사,딜러,,,,,이속,,,,,,,,,,,,,,,,,,,
,,,해골 궁수,딜러,,,,,치확,,,,,,,,,,,,,,,,,,,
,,,누더기 골렘,딜탱,,,,,체력,,,,,,,,,,,,,,,,,,,
,,,오크로드,퓨어,,,,,치피,,,,,,,,,,,,,,,,,,,
,,,오크 전사,딜탱,,,,,공격,,,,,,,,,,,,,,,,,,,
,,,오크 라이더,퓨어,,,,,체력,,,,,,,,,,,,,,,,,,,
,,,서큐버스 퀸,딜러,,,,,치확,,,,,,,,,,,,,,,,,,,
,,,서큐버스,딜러,,,,,치피,,,,,,,,,,,,,,,,,,,
,,,비홀더,딜탱,,,,,이속,,,,,,,,,,,,,,,,,,,
,,,인큐버스,탱딜,,,,,치피,,,,,,,,,,,,,,,,,,,
,,,발록,탱딜,,,,,이속,,,,,,,,,,,,,,,,,,,
,,,바포메트,힐러,,,,,공격,,,,,,,,,,,,,,,,,,,
,,,아수라,퓨어,,,,,치피,,,,,,,,,,,,,,,,,,,
,,,뱀파이어,딜탱,,,,,치피,,,,,,,,,,,,,,,,,,,
,,,폭탄 고블린,퓨어,,,,,치피,,,,,,,,,,,,,,,,,,,
,,,고블린,딜러,,,,,공격,,,,,,,,,,,,,,,,,,,
,,,보물 고블린,딜러,,,,,체력,,,,,,,,,,,,,,,,,,,
,,,순찰대장,퓨어,,,,,체력,,,,,,,,,,,,,,,,,,,
,,,암살자,퓨어,,,,,공격,,,,,,,,,,,,,,,,,,,
,,,맨드레이크,힐러,,,,,공속,,,,,,,,,,,,,,,,,,,
,,,슬라임 킹,탱커,,,,,공격,,,,,,,,,,,,,,,,,,,
,,,슬라임,힐러,,,,,치피,,,,,,,,,,,,,,,,,,,
,,,돌골렘,탱커,,,,,공격,,,,,,,,,,,,,,,,,,,
,,,미믹,탱딜,,,,,치피,,,,,,,,,,,,,,,,,,,
,,,송곳니,퓨어,,,,,치피,,,,,,,,,,,,,,,,,,,
,,,늑대인간,딜러,,,,,치확,,,,,,,,,,,,,,,,,,,
,,,놀 전사,딜러,,,,,치확,,,,,,,,,,,,,,,,,,,
,,,놀 궁수,딜러,,,,,공속,,,,,,,,,,,,,,,,,,,
,,,사이클롭스,퓨어,,,,,치확,,,,,,,,,,,,,,,,,,,
,,,오우거,탱딜,,,,,이속,,,,,,,,,,,,,,,,,,,
,,,하피 퀸,퓨어,,,,,공속,,,,,,,,,,,,,,,,,,,
,,,하피,퓨어,,,,,공속,,,,,,,,,,,,,,,,,,,
,,,까마귀,퓨어,,,,,치확,,,,,,,,,,,,,,,,,,,
