Id,Name,CoolTime,Range,Duration(3),Stack(4),Status_0,Type_0,Grp_0,Status_1,Type_1,Grp_1,Status_2,Type_2,Grp_2,Description
100072,Lv2 크게 한바퀴,20,3,0,,1,3.3,,,,,,,,주변 범위 내 모든 적군에게 [{0}] 피해
100073,Lv3 크게 한바퀴,18,3,0,,1,3.6,,,,,,,,주변 범위 내 모든 적군에게 [{0}] 피해
100081,Lv1 물어!,23,4,0,,1,3,,,,,,,,전방으로 돌격해 대상 주위 모든 적군에게 [{0}] 피해
100082,Lv2 물어!,20,4,0,,1,3.3,,,,,,,,전방으로 돌격해 대상 주위 모든 적군에게 [{0}] 피해
100083,Lv3 물어!,18,4,0,,1,3.6,,,,,,,,전방으로 돌격해 대상 주위 모든 적군에게 [{0}] 피해
100091,Lv1 꿈에서 보자,23,2,10,,1,5,,1,0.1,3,,,,"현재 HP가 가장 낮은 아군의 HP를 [{0}]회복 시키며, 대상이 <{0}>일 경우 대상 주변 적군의 공격력을 [{1}] 감소 시킨다."
100092,Lv2 꿈에서 보자,20,2,10,,1,6,,1,0.15,3,,,,"현재 HP가 가장 낮은 아군의 HP를 [{0}]회복 시키며, 대상이 <{0}>일 경우 대상 주변 적군의 공격력을 [{1}] 감소 시킨다."
100093,Lv3 꿈에서 보자,18,2,10,,1,7,,1,0.2,3,,,,"현재 HP가 가장 낮은 아군의 HP를 [{0}]회복 시키며, 대상이 <{0}>일 경우 대상 주변 적군의 공격력을 [{1}] 감소 시킨다."
100101,Lv1 매혹,23,1,5,,,,,,,,,,,대상을 매혹시켜 ({3})초 동안 행동불가 상태로 만든다.
100102,Lv2 매혹,20,1,7,,,,,,,,,,,대상을 매혹시켜 ({3})초 동안 행동불가 상태로 만든다.
100103,Lv3 매혹,18,1,10,,,,,,,,,,,대상을 매혹시켜 ({3})초 동안 행동불가 상태로 만든다.
100111,Lv1 석화,23,3,3,,,,,,,,,,,대상을 바라보며 안광을 쏘아 범위 내 적에게 ({0})초 동안 석화 마법을 건다.
100112,Lv2 석화,20,3,5,,,,,,,,,,,대상을 바라보며 안광을 쏘아 범위 내 적에게 ({0})초 동안 석화 마법을 건다.
100113,Lv3 석화,18,3,7,,,,,,,,,,,대상을 바라보며 안광을 쏘아 범위 내 적에게 ({0})초 동안 석화 마법을 건다.
100121,Lv1 반월각,23,5,0,,1,3,,,,,,,,대상을 향해 강력한 기운을 날려 공격한다. 기운이 지나는 모든 적에게 [{0}] 피해를 입힌다.
100122,Lv2 반월각,20,5,0,,1,4,,,,,,,,대상을 향해 강력한 기운을 날려 공격한다. 기운이 지나는 모든 적에게 [{0}] 피해를 입힌다.
100123,Lv3 반월각,18,5,0,,1,5,,,,,,,,대상을 향해 강력한 기운을 날려 공격한다. 기운이 지나는 모든 적에게 [{0}] 피해를 입힌다.
100131,Lv1 파멸의 일격,23,3,0,,1,5,,1,1,,,,,대상을 강하게 내리쳐 대상에게 [{0}] 피해를 주고 주변 적에게 [{1}] 피해를 준다.
100132,Lv2 파멸의 일격,20,3,0,,1,5.5,,1,1.1,,,,,대상을 강하게 내리쳐 대상에게 [{0}] 피해를 주고 주변 적에게 [{1}] 피해를 준다.
100133,Lv3 파멸의 일격,18,3,0,,1,6,,1,1.2,,,,,대상을 강하게 내리쳐 대상에게 [{0}] 피해를 주고 주변 적에게 [{1}] 피해를 준다.
100141,Lv1 구원,23,5,0,,0,0.2,,,,,,,,기운을 주변에 퍼트려 자신 주변 모든 아군의 [{0}]체력을 회복시킨다.
100142,Lv2 구원,20,5,0,,0,0.25,,,,,,,,기운을 주변에 퍼트려 자신 주변 모든 아군의 [{0}]체력을 회복시킨다.
100143,Lv3 구원,18,5,0,,0,0.3,,,,,,,,기운을 주변에 퍼트려 자신 주변 모든 아군의 [{0}]체력을 회복시킨다.
100151,Lv1 난사,23,4,0,,1,3,,,,,,,,수십개의 화살을 대상 위로 쏘아내 대상 주변에 [{0}]피해를 준다.
100152,Lv2 난사,20,4,0,,1,4,,,,,,,,수십개의 화살을 대상 위로 쏘아내 대상 주변에 [{0}]피해를 준다.
100153,Lv3 난사,18,4,0,,1,5,,,,,,,,수십개의 화살을 대상 위로 쏘아내 대상 주변에 [{0}]피해를 준다.
100161,Lv1 혈액 폭발,23,6,0,,0,0.3,,,,,,,,피를 끌어모아 폭발시켜 주변 적에게 [{0}]만큼 피해를 준다.
100162,Lv2 혈액 폭발,20,6,0,,0,0.4,,1,0.1,,,,,"피를 끌어모아 폭발시켜 주변 적에게 [{0}]만큼 피해를 준다.
피해량의 [1}]만큼 자신의 체력을 회복한다."
100163,Lv3 혈액 폭발,18,6,0,,0,0.5,,1,0.1,,,,,"피를 끌어모아 폭발시켜 주변 적에게 [{0}]만큼 피해를 준다.
피해량의 [1}]만큼 자신의 체력을 회복한다."
100171,Lv1 에라 모르겠다,23,2,10,,1,0.5,,,,,,,,"화염병을 주변에 던져 불바닥을 생성하며, 불바닥을 밟는 대상에세  [{0}]피해를 ({3})초 동안 입힌다."
100172,Lv2 에라 모르겠다,20,2,10,,1,0.6,,,,,,,,"화염병을 주변에 던져 불바닥을 생성하며, 불바닥을 밟는 대상에세  [{0}]피해를 ({3})초 동안 입힌다."
100173,Lv3 에라 모르겠다,18,2,10,,1,0.7,,,,,,,,"화염병을 주변에 던져 불바닥을 생성하며, 불바닥을 밟는 대상에세  [{0}]피해를 ({3})초 동안 입힌다."
100181,Lv1 명치찌르기,23,1,0,,1,1,,,,,,,,빠르게 3번 공격해 대상에게 ({4})회당 [{0}] 피해를 입힌다.
100182,Lv2 명치찌르기,20,1,0,,1,1.5,,,,,,,,빠르게 3번 공격해 대상에게 ({4})회당 [{0}] 피해를 입힌다.
100183,Lv3 명치찌르기,18,1,0,,1,2,,,,,,,,빠르게 3번 공격해 대상에게 ({4})회당 [{0}] 피해를 입힌다.
100191,Lv1 코인 샤워,23,10,0,,0,0.05,,,,,,,,주변 아군에게 동전을 던져 [{0}] 만큼 체력을 ({4})회 회복시킨다.
100192,Lv2 코인 샤워,20,10,0,,0,0.07,,,,,,,,주변 아군에게 동전을 던져 [{0}] 만큼 체력을 ({4})회 회복시킨다.
100193,Lv3 코인 샤워,18,10,0,,0,0.1,,,,,,,,주변 아군에게 동전을 던져 [{0}] 만큼 체력을 ({4})회 회복시킨다.
100201,Lv1 다발사격,23,30,10,,1,1,6,,,,,,,<{0}> 아군의 공격속도를 ({3})초간 [{0}] 만큼 증가시킨다.
100202,Lv2 다발사격,20,30,10,,1,2,6,,,,,,,<{0}> 아군의 공격속도를 ({3})초간 [{0}] 만큼 증가시킨다.
100203,Lv3 다발사격,18,30,10,,1,3,6,,,,,,,<{0}> 아군의 공격속도를 ({3})초간 [{0}] 만큼 증가시킨다.
100211,Lv1 부스터,23,30,10,,5,0.1,6,1,5,,,,,"<0> 아군의 이동속도를 ({3})초간 [{0}] 증가시킨다.
대상에게 치명적인 공격을 가해 [{1}] 피해를 입힌다."
100212,Lv2 부스터,20,30,10,,5,0.1,6,1,6,,,,,"<0> 아군의 이동속도를 ({3})초간 [{0}] 증가시킨다.
대상에게 치명적인 공격을 가해 [{1}] 피해를 입힌다."
100213,Lv3 부스터,18,30,10,,5,0.1,6,1,7,,,,,"<0> 아군의 이동속도를 ({3})초간 [{0}] 증가시킨다.
대상에게 치명적인 공격을 가해 [{1}] 피해를 입힌다."
100221,Lv1 식물성 꽃가루,23,10,10,,1,0.3,,1,0.3,,,,,"공격할 때마다 [{0}]피해를 주며, {4}회 공격 할 때마다 주변 모든 적에게 ({3})초 동안 지속적으로 [{1}]의 피해를 입힌다."
100222,Lv2 식물성 꽃가루,20,10,10,,1,0.3,,1,0.5,,,,,"공격할 때마다 [{0}]피해를 주며, {4}회 공격 할 때마다 주변 모든 적에게 ({3})초 동안 지속적으로 [{1}]의 피해를 입힌다."
100223,Lv3 식물성 꽃가루,18,10,10,,1,0.3,,1,0.7,,,,,"공격할 때마다 [{0}]피해를 주며, {4}회 공격 할 때마다 주변 모든 적에게 ({3})초 동안 지속적으로 [{1}]의 피해를 입힌다."
100231,Lv1 펑!,23,10,0,,1,0.3,,,,,,,,모든 아군에게 자신의 액체를 붙여  [{0}]씩 HP를 ({3})초간 회복시킨다.
100232,Lv2 펑!,20,10,0,,1,0.4,,0,0.1,7,,,,"모든 아군에게 자신의 액체를 붙여  [{0}]씩 HP를 ({3})초간 회복시킨다.
대상이 <{0}>일 경우 [{1}] 만큼 보호막을 생성한다."
100233,Lv3 펑!,18,10,0,,1,0.5,,0,0.1,7,,,,"모든 아군에게 자신의 액체를 붙여  [{0}]씩 HP를 ({3})초간 회복시킨다.
대상이 <{0}>일 경우 [{1}] 만큼 보호막을 생성한다."
100241,Lv1 산성액,23,3,10,,0,0.1,,,,,,,,지속적으로 몸을 터트려 밤위 내 적군에게 자신의 [{0}] 만큼 ({3})초간 피해를 입힌다.
100242,Lv2 산성액,20,3,10,,0,0.1,,,,,,,,지속적으로 몸을 터트려 밤위 내 적군에게 자신의 [{0}] 만큼 ({3})초간 피해를 입힌다.
100243,Lv3 산성액,18,3,10,,0,0.1,,,,,,,,지속적으로 몸을 터트려 밤위 내 적군에게 자신의 [{0}] 만큼 ({3})초간 피해를 입힌다.
100251,Lv1 돌 보호막,23,5,0,,1,0.1,,,,,,,,주변 아군에게 돌덩이를 날려 [{0}]의 보호막을 씌운다.
100252,Lv2 돌 보호막,20,5,0,,1,0.2,,,,,,,,주변 아군에게 돌덩이를 날려 [{0}]의 보호막을 씌운다.
100253,Lv3 돌 보호막,18,5,0,,1,0.3,,,,,,,,주변 아군에게 돌덩이를 날려 [{0}]의 보호막을 씌운다.
100261,Lv1 쾅!,23,1,0,,1,0.15,,,,,,,,자신을 단단하게 만들어 [{0}]의 보호막을 생성한다.
100262,Lv2 쾅!,20,1,0,,1,0.2,,,,,,,,자신을 단단하게 만들어 [{0}]의 보호막을 생성한다.
100263,Lv3 쾅!,18,1,0,,1,0.3,,,,,,,,자신을 단단하게 만들어 [{0}]의 보호막을 생성한다.
100271,Lv1 사자후,23,6,7,,1,3,,1,0.1,8,,,,"범위 내 적군에게 [{0}] 피해를 입히며, 아군 <{0}>가 입히는 출혈 피해량을 [{1}] 만큼 ({3})초 동안 증가 시킨다."
100272,Lv2 사자후,20,6,7,,1,4,,1,0.1,8,,,,"범위 내 적군에게 [{0}] 피해를 입히며, 아군 <{0}>가 입히는 출혈 피해량을 [{1}] 만큼 ({3})초 동안 증가 시킨다."
100273,Lv3 사자후,18,6,7,,1,5,,1,0.1,8,,,,"범위 내 적군에게 [{0}] 피해를 입히며, 아군 <{0}>가 입히는 출혈 피해량을 [{1}] 만큼 ({3})초 동안 증가 시킨다."
100281,Lv1 크로우 엑스,23,3,10,,1,2,,1,0.1,,,,,"대상에게 발톱을 세워 양손으로 [{0}]만큼의 피해를 2회 입힌다.
피해를 입은 대상에게 [{1}] 출혈 피해를 ({3})초 동안 입는다."
100282,Lv2 크로우 엑스,20,3,10,,1,2.5,,1,0.2,,,,,"대상에게 발톱을 세워 양손으로 [{0}]만큼의 피해를 2회 입힌다.
피해를 입은 대상에게 [{1}] 출혈 피해를 ({3})초 동안 입는다."
100283,Lv3 크로우 엑스,18,3,10,,1,3,,1,0.15,,,,,"대상에게 발톱을 세워 양손으로 [{0}]만큼의 피해를 2회 입힌다.
피해를 입은 대상에게 [{1}] 출혈 피해를 ({3})초 동안 입는다."
100291,Lv1 휘두르기,23,3,10,,1,2,,1,0.1,,,,,"날이빠진 도끼를 휘둘러 전방에 모든 적을 공격해 [{0}] 피해를 입히며, ({3})초 동안 [{1}]의 출혈 피해를 입힌다."
100292,Lv2 휘두르기,20,3,10,,1,2.5,,1,0.1,,,,,"날이빠진 도끼를 휘둘러 전방에 모든 적을 공격해 [{0}] 피해를 입히며, ({3})초 동안 [{1}]의 출혈 피해를 입힌다."
100293,Lv3 휘두르기,18,3,10,,1,3,,1,0.1,,,,,"날이빠진 도끼를 휘둘러 전방에 모든 적을 공격해 [{0}] 피해를 입히며, ({3})초 동안 [{1}]의 출혈 피해를 입힌다."
100301,Lv1 독화살,23,1,10,,1,0.2,,,,,,,,대상에게 독이 묻은 화살을 날려 [{0}]에 독 피해를 ({3})초 동안 입힌다.
100302,Lv2 독화살,20,1,10,,1,0.3,,,,,,,,대상에게 독이 묻은 화살을 날려 [{0}]에 독 피해를 ({3})초 동안 입힌다.
100303,Lv3 독화살,18,1,10,,1,0.4,,,,,,,,대상에게 독이 묻은 화살을 날려 [{0}]에 독 피해를 ({3})초 동안 입힌다.
100311,Lv1 하늘의 분노,23,5,10,,1,1,,1,0.1,,0,0.1,9,"하늘에서 벼락이 떨어져 범위 내 무작위 대상 8명 에게 [{0}]의 피해를 입히며, 자기장을 생성해 [{1}]만큼 ({3})초간 피해를 준다.
<{0}> 아군이 맞을 경우, 벼락을 맞을 경우, [{2}]의 보호막이 생성된다."
100312,Lv2 하늘의 분노,20,5,10,,1,1.5,,1,0.1,,0,0.1,9,"하늘에서 벼락이 떨어져 범위 내 무작위 대상 8명 에게 [{0}]의 피해를 입히며, 자기장을 생성해 [{1}]만큼 ({3})초간 피해를 준다.
<{0}> 아군이 맞을 경우, 벼락을 맞을 경우, [{2}]의 보호막이 생성된다."
100313,Lv3 하늘의 분노,18,5,10,,1,2,,1,0.1,,0,0.1,9,"하늘에서 벼락이 떨어져 범위 내 무작위 대상 8명 에게 [{0}]의 피해를 입히며, 자기장을 생성해 [{1}]만큼 ({3})초간 피해를 준다.
<{0}> 아군이 맞을 경우, 벼락을 맞을 경우, [{2}]의 보호막이 생성된다."
100321,Lv1 크워어엉,23,3,8,,,,,,,,,,,고함을 질러 주변 대상이 ({3})초 동안 자신을 공격하게 한다.
100322,Lv2 크워어엉,20,3,9,,,,,,,,,,,고함을 질러 주변 대상이 ({3})초 동안 자신을 공격하게 한다.
100323,Lv3 크워어엉,18,3,10,,,,,0,0.1,,,,,"고함을 질러 주변 대상이 ({3})초 동안 자신을 공격하게 한다.
고함을 지를때, 자신에게 [{1}] 보호막을 생성한다."
100331,Lv1 광폭한 부리,23,3,10,,1,1,,1,0.3,10,,,,"범위 내 적에게 깃털을 쏘아내 [{0}] 피해를 주며, ({3})초간 <{0}> 아군이 공격할 때마다 깃털을 날려 [{2}] 추가 피해를 준다."
100332,Lv2 광폭한 부리,20,3,10,,1,1.5,,1,0.3,10,,,,"범위 내 적에게 깃털을 쏘아내 [{0}] 피해를 주며, ({3})초간 <{0}> 아군이 공격할 때마다 깃털을 날려 [{2}] 추가 피해를 준다."
100333,Lv3 광폭한 부리,18,3,10,,1,2,,1,0.3,10,,,,"범위 내 적에게 깃털을 쏘아내 [{0}] 피해를 주며, ({3})초간 <{0}> 아군이 공격할 때마다 깃털을 날려 [{2}] 추가 피해를 준다."
100341,Lv1 바람의 날개짓,23,5,10,,5,0.1,,,,,,,,날개짓으로 바람을 일으켜 몸을 가볍게 해 주변 아군의 이동속도를 ({3})초 동안 [{0}] 증가 시킨다.
100342,Lv2 바람의 날개짓,20,5,10,,5,0.15,,,,,,,,날개짓으로 바람을 일으켜 몸을 가볍게 해 주변 아군의 이동속도를 ({3})초 동안 [{0}] 증가 시킨다.
100343,Lv3 바람의 날개짓,18,5,10,,5,0.2,,,,,,,,날개짓으로 바람을 일으켜 몸을 가볍게 해 주변 아군의 이동속도를 ({3})초 동안 [{0}] 증가 시킨다.
100351,Lv1 부리쪼기,23,1,0,10,4,0.01,,,,,,,,"일반공격을 할 때마다 자신의 공격속도가 [{0}]씩 증가한다.
최대 ({4})중첩"
100352,Lv2 부리쪼기,20,1,0,10,4,0.015,,,,,,,,"일반공격을 할 때마다 자신의 공격속도가 [{0}]씩 증가한다.
최대 ({4})중첩"
100353,Lv3 부리쪼기,18,1,0,10,4,0.02,,,,,,,,"일반공격을 할 때마다 자신의 공격속도가 [{0}]씩 증가한다.
최대 ({4})중첩"
