,,,,"0 무기
1 방어구
2 반지
3 목걸이","0 집행
1 도살
2 응징
3 초월","0 Hp
1 Atk
2 Cri
3 Cri_Damage
4 Speed_Atk
5 Speed_Move
6 Range_Atk
7 Range_Move",,"0 Hp
1 Atk
2 Cri
3 Cri_Damage
4 Speed_Atk
5 Speed_Move
6 Range_Atk
7 Range_Move",,"0 Hp
1 Atk
2 Cri
3 Cri_Damage
4 Speed_Atk
5 Speed_Move
6 Range_Atk
7 Range_Move",,,
20005,Equipment/Icon_Weapon_Axe_Rare.png,전사의 도끼,2,0,1,4,0.05,,,,,1000,
20006,Equipment/Icon_Armor_Chain_Rare.png,전사의 사슬갑옷,2,1,1,4,0.05,,,,,1000,
20007,Equipment/Icon_Ring_Sapphire_Rare.png,전사의 반지,2,2,1,4,0.05,,,,,1000,
20008,Equipment/Icon_Necklace_Sapphire_Rare.png,전사의 목걸이,2,3,1,4,0.05,,,,,1000,
20009,Equipment/Icon_Weapon_Dagger_Rare.png,암살자의 단검,2,0,2,0,0.1,,,,,1000,
20010,Equipment/Icon_Armor_Leather_Rare.png,암살자의 가죽갑옷,2,1,2,0,0.1,,,,,1000,
20011,Equipment/Icon_Ring_Topaz_Rare.png,암살자의 반지,2,2,2,0,0.1,,,,,1000,
20012,Equipment/Icon_Necklace_Topaz_Rare.png,암살자의 목걸이,2,3,2,0,0.1,,,,,1000,
20013,Equipment/Icon_Weapon_Wand_Rare.png,마법사의 지팡이,2,0,3,5,0.05,,,,,1000,
20014,Equipment/Icon_Armor_Cloth_Rare.png,마법사의 로브,2,1,3,5,0.05,,,,,1000,
20015,Equipment/Icon_Ring_Emerald_Rare.png,마법사의 반지,2,2,3,5,0.05,,,,,1000,
20016,Equipment/Icon_Necklace_Emerald_Rare.png,마법사의 목걸이,2,3,3,5,0.05,,,,,1000,
10001,Equipment/Icon_Weapon_Sword_Epic.png,집행자의 대검,1,0,0,2,0.1,6,0.5,,,10000,
10002,Equipment/Icon_Armor_Plate_Epic.png,집행자의 판금갑옷,1,1,0,2,0.1,6,0.5,,,10000,
10003,Equipment/Icon_Ring_Ruby_Epic.png,집행자의 반지,1,2,0,2,0.1,6,0.5,,,10000,
10004,Equipment/Icon_Necklace_Ruby_Epic.png,집행자의 목걸이,1,3,0,2,0.1,6,0.5,,,10000,
10005,Equipment/Icon_Weapon_Axe_Epic.png,도살자의 도끼,1,0,1,4,0.05,3,0.1,,,10000,
10006,Equipment/Icon_Armor_Chain_Epic.png,도살자의 사슬갑옷,1,1,1,4,0.05,3,0.1,,,10000,
10007,Equipment/Icon_Ring_Sapphire_Epic.png,도살자의 반지,1,2,1,4,0.05,3,0.1,,,10000,
10008,Equipment/Icon_Necklace_Sapphire_Epic.png,도살자의 목걸이,1,3,1,4,0.05,3,0.1,,,10000,
10009,Equipment/Icon_Weapon_Dagger_Epic.png,응징의 단검,1,0,2,0,0.1,7,0.1,,,10000,
10010,Equipment/Icon_Armor_Leather_Epic.png,응징의 가죽갑옷,1,1,2,0,0.1,7,0.1,,,10000,
10011,Equipment/Icon_Ring_Topaz_Epic.png,응징의 반지,1,2,2,0,0.1,7,0.1,,,10000,
10012,Equipment/Icon_Necklace_Topaz_Epic.png,응징의 목걸이,1,3,2,0,0.1,7,0.1,,,10000,
10013,Equipment/Icon_Weapon_Wand_Epic.png,초월자의 지팡이,1,0,3,5,0.05,4,0.1,,,10000,
10014,Equipment/Icon_Armor_Cloth_Epic.png,초월자의 로브,1,1,3,5,0.05,4,0.1,,,10000,
10015,Equipment/Icon_Ring_Emerald_Epic.png,초월자의 반지,1,2,3,5,0.05,4,0.1,,,10000,
10016,Equipment/Icon_Necklace_Emerald_Epic.png,초월자의 목걸이,1,3,3,5,0.05,4,0.1,,,10000,
00001,Equipment/Icon_Weapon_Sword_Legendary.png,집행자의 대검+,0,0,0,2,0.1,6,0.5,4,0.1,100000,
00002,Equipment/Icon_Armor_Plate_Legendary.png,집행자의 판금갑옷+,0,1,0,2,0.1,6,0.5,4,0.1,100000,
00003,Equipment/Icon_Ring_Ruby_Legendary.png,집행자의 반지+,0,2,0,2,0.1,6,0.5,4,0.1,100000,
00004,Equipment/Icon_Necklace_Ruby_Legendary.png,집행자의 목걸이+,0,3,0,2,0.1,6,0.5,4,0.1,100000,
00005,Equipment/Icon_Weapon_Axe_Legendary.png,도살자의 도끼+,0,0,1,4,0.05,3,0.1,1,0.1,100000,
00006,Equipment/Icon_Armor_Chain_Legendary.png,도살자의 사슬갑옷+,0,1,1,4,0.05,3,0.1,1,0.1,100000,
00007,Equipment/Icon_Ring_Sapphire_Legendary.png,도살자의 반지+,0,2,1,4,0.05,3,0.1,1,0.1,100000,
00008,Equipment/Icon_Necklace_Sapphire_Legendary.png,도살자의 목걸이+,0,3,1,4,0.05,3,0.1,1,0.1,100000,
00009,Equipment/Icon_Weapon_Dagger_Legendary.png,응징의 단검+,0,0,2,0,0.1,7,0.1,5,0.1,100000,
00010,Equipment/Icon_Armor_Leather_Legendary.png,응징의 가죽갑옷+,0,1,2,0,0.1,7,0.1,5,0.1,100000,
00011,Equipment/Icon_Ring_Topaz_Legendary.png,응징의 반지+,0,2,2,0,0.1,7,0.1,5,0.1,100000,
00012,Equipment/Icon_Necklace_Topaz_Legendary.png,응징의 목걸이+,0,3,2,0,0.1,7,0.1,5,0.1,100000,
00013,Equipment/Icon_Weapon_Wand_Legendary.png,초월자의 지팡이+,0,0,3,5,0.05,4,0.1,3,0.1,100000,
00014,Equipment/Icon_Armor_Cloth_Legendary.png,초월자의 로브+,0,1,3,5,0.05,4,0.1,3,0.1,100000,
00015,Equipment/Icon_Ring_Emerald_Legendary.png,초월자의 반지+,0,2,3,5,0.05,4,0.1,3,0.1,100000,
00016,Equipment/Icon_Necklace_Emerald_Legendary.png,초월자의 목걸이+,0,3,3,5,0.05,4,0.1,3,0.1,100000,
