Item_Equip_ID,Item_Equip_Icon,Item_Equip_Name,Item_Equip_Class,Item_Equip_Slot,Item_Equip_Set,Item_Equip_Set_Type_1,Item_Equip_Set_Value_1,Item_Equip_Set_Type_2,Item_Equip_Set_Value_2,Item_Equip_Set_Type_3,Item_Equip_Set_Value_3,Item_Equip_Sell,Item_Equip_Subject
10010,Equipment/Icon_Armor_Leather_Epic.png,응징의 가죽갑옷,1,1,2,0,0.1,7,0.1,,,10000,
10011,Equipment/Icon_Ring_Topaz_Epic.png,응징의 반지,1,2,2,0,0.1,7,0.1,,,10000,
10012,Equipment/Icon_Necklace_Topaz_Epic.png,응징의 목걸이,1,3,2,0,0.1,7,0.1,,,10000,
10013,Equipment/Icon_Weapon_Wand_Epic.png,초월자의 지팡이,1,0,3,5,0.05,4,0.1,,,10000,
10014,Equipment/Icon_Armor_Cloth_Epic.png,초월자의 로브,1,1,3,5,0.05,4,0.1,,,10000,
10015,Equipment/Icon_Ring_Emerald_Epic.png,초월자의 반지,1,2,3,5,0.05,4,0.1,,,10000,
10016,Equipment/Icon_Necklace_Emerald_Epic.png,초월자의 목걸이,1,3,3,5,0.05,4,0.1,,,10000,
1,Equipment/Icon_Weapon_Sword_Legendary.png,집행자의 대검+,0,0,0,2,0.1,6,0.5,4,0.1,100000,
2,Equipment/Icon_Armor_Plate_Legendary.png,집행자의 판금갑옷+,0,1,0,2,0.1,6,0.5,4,0.1,100000,
3,Equipment/Icon_Ring_Ruby_Legendary.png,집행자의 반지+,0,2,0,2,0.1,6,0.5,4,0.1,100000,
4,Equipment/Icon_Necklace_Ruby_Legendary.png,집행자의 목걸이+,0,3,0,2,0.1,6,0.5,4,0.1,100000,
5,Equipment/Icon_Weapon_Axe_Legendary.png,도살자의 도끼+,0,0,1,4,0.05,3,0.1,1,0.1,100000,
6,Equipment/Icon_Armor_Chain_Legendary.png,도살자의 사슬갑옷+,0,1,1,4,0.05,3,0.1,1,0.1,100000,
7,Equipment/Icon_Ring_Sapphire_Legendary.png,도살자의 반지+,0,2,1,4,0.05,3,0.1,1,0.1,100000,
8,Equipment/Icon_Necklace_Sapphire_Legendary.png,도살자의 목걸이+,0,3,1,4,0.05,3,0.1,1,0.1,100000,
9,Equipment/Icon_Weapon_Dagger_Legendary.png,응징의 단검+,0,0,2,0,0.1,7,0.1,5,0.1,100000,
10,Equipment/Icon_Armor_Leather_Legendary.png,응징의 가죽갑옷+,0,1,2,0,0.1,7,0.1,5,0.1,100000,
11,Equipment/Icon_Ring_Topaz_Legendary.png,응징의 반지+,0,2,2,0,0.1,7,0.1,5,0.1,100000,
12,Equipment/Icon_Necklace_Topaz_Legendary.png,응징의 목걸이+,0,3,2,0,0.1,7,0.1,5,0.1,100000,
13,Equipment/Icon_Weapon_Wand_Legendary.png,초월자의 지팡이+,0,0,3,5,0.05,4,0.1,3,0.1,100000,
14,Equipment/Icon_Armor_Cloth_Legendary.png,초월자의 로브+,0,1,3,5,0.05,4,0.1,3,0.1,100000,
15,Equipment/Icon_Ring_Emerald_Legendary.png,초월자의 반지+,0,2,3,5,0.05,4,0.1,3,0.1,100000,
16,Equipment/Icon_Necklace_Emerald_Legendary.png,초월자의 목걸이+,0,3,3,5,0.05,4,0.1,3,0.1,100000,
